PVSYST 8.0.15
;File;File date;Description
Project;25_09_13_Bomen PVSyst - 2021_whole_site.PRJ;13/09/25 20h38;25_09_13_Bomen PVSyst - 2021_whole_site;
Geographical Site;Wagga Wagga;13/09/25 20h38;Wagga Wagga;Australia;Australia;;
Weather data;Wagga Wagga 2021 GHI_Custom_Imported.MET;13/06/24 14h46;Wagga Wagga 2021 GHI;Custom file;Imported;
Simulation variant;25_09_13_Bomen PVSyst - 2021_whole_site.VCQ;13/09/25 23h05;24_10_08_Match_measured_inv_whole_farm_Uc15Perez;
Simulation date;;14/09/25 02h57

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;EUnused;IL_Nigh;Aux_Lss;EACOhmL;EMVOhmL;EHVOhmL;EMVTrfL;EHVTrfL;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;-1.6959;-1.6959;0;19.83;0;0;0;-1.8746;0;0;0;-1.8746;-1.8746;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.83;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0825;0;0.0825;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;-1.9915;-1.9915;0;19.43;0;0;0;-2.2014;0;0;0;-2.2014;-2.2014;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.43;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;-1.9915;-1.9915;0;19.1;0;0;0;-2.2014;0;0;0;-2.2014;-2.2014;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.1;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;-1.9915;-1.9915;0;18.91;0;0;0;-2.2014;0;0;0;-2.2014;-2.2014;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.91;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 04:00;0;0;90;0;0;90;0;-1.9915;-1.9915;0;18.91;0;0;0;-2.2014;0;0;0;-2.2014;-2.2014;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.91;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 05:00;3.8932;-115.48;81.525;4.311;5.0792;-90;-5.0792;4.1973;4.1973;0;18.89;0;0;0;4.5232;-0.5671;-0.0336;0.0016;3.9242;3.9242;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.89;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 06:00;13.552;-108.72;59.429;14.279;18.088;-90;-18.088;29.008;28.803;0.2051;18.98;0;0;0.4453;29.266;-2.6139;-0.7455;0.1434;26.495;0;26.495;0.4453;-2.6139;28.52;0.1434;0.0168;1.0819;0;-0.0227;25.807;0.6876;0;0;0.5662;0.1214;24.807;0.923;0.0156;-0.0914;0.9939;0.0049;25.73;0.0774;0.0013;-0.0078;0.0839;0.0001;24.844;0.4284;-2.5147;26.876;0.017;18.165;14.459;5.7302;-0.0004;0.1617;3.1393;0.037;3.3014;0;1;0;0;0.9134;0.974;1;1;0.9807;1;0.9641;0.9649;1;0.9653;1;0.997;0.997;1;0.997;1;0.9363;0.9438;1;3.1944;3.272;0.0197;0.4109;-0.0576;0.0203;0.072;0.002;0;0;0;0.088;0.0002;0.0001;0;0.1215;0.1206;2.2613;0;0;0;0;0;0;0;0;0;0;0;0;0.0582;0.0024;2.7441;2.7441;0;20.218;20.218;1.2376;0.0499;2737.2;1002.5;1;0.1525;0.1525;0;0;0;0;0;0;2.5916;2.2613;0;16.289;0;13.423;0;94.443;94.443;0.6359;0.5462;0.4501;0.0896;0.0961;0.141;0.1511;0.7079;18.183;0.6511;0
01/01/21 07:00;25.397;-101.18;21.425;25.825;45.174;-90;-45.174;118.5;115.2;3.299;19.47;0;0;7.1604;95.225;7.5841;-5.8461;3.4961;107.62;0;107.62;7.1604;7.5841;89.379;3.4961;0.0665;0.863;0;-0.0218;96.763;10.856;0;0;7.5525;3.3036;93.79;2.683;0.0053;0.0056;2.6599;0.0123;96.473;0.2903;0.0215;0.0228;0.2455;0.0006;95.093;7.1337;7.5558;78.921;0.1797;72.009;57.319;25.179;3.8031;0.7069;13.72;1.3028;10.623;0;1;0;0;0.9082;0.8991;1;1;0.9207;1;0.9722;0.9993;1;0.9696;1;0.997;0.997;1;0.997;1;0.8715;0.89;1;12.975;12.668;0.0763;0.6958;-0.0423;0.0836;0.2964;0.0093;0;0;0;0.088;0.0029;0.0021;0;0.1309;0.1301;10.646;0;0;0;0;0;0;0;0;0;0;0;0;0.2397;0.0152;11.294;11.294;0;24.087;24.087;4.6175;0.0492;10817;1044.1;1;0.2947;0.2947;0;0;0;0;0;0;11;10.646;0;16.505;0;15.557;0;97.391;97.391;2.5829;2.2483;2.1192;0.3346;0.1291;0.1296;0.05;0.8205;71.514;0.7501;0
01/01/21 08:00;37.554;-93.475;2.7544;37.605;52.395;-90;-52.395;336.1;295.1;41.006;20.74;0;0;67.2;185.55;105.92;-5.5139;13.101;366.26;0;366.26;67.2;105.92;180.03;13.101;0.1835;0.5273;0;0.0207;334.89;31.369;0;0;18.871;12.498;328.45;5.4339;0.0064;0.01;5.392;0.0256;333.88;1.0047;0.2016;0.3178;0.4835;0.0018;333.1;66.992;105.6;155.28;0.5753;185.07;147.31;65;16.854;2.1496;41.72;4.6554;27.015;0;1;0;0;1.0897;0.9144;1;1;0.8983;-0.6473;0.9837;0.9999;1;0.9676;1;0.997;0.997;1;0.997;1;0.8968;0.8665;-0.6488;44.158;43.839;0.264;0.4897;1.8631;0.2886;1.0233;0.0284;0;0;0;0.088;0.0346;0.0253;0.0001;0.2423;0.2423;37.675;0;0;0;0;0;0;0;0;0;0;0;0;0.8278;0.1197;38.935;38.935;0;36.91;36.91;16.17;0.0492;37716;1032.3;1;0.627;0.627;0;0;0;0;0;0;38.308;37.675;0;16.719;0;16.178;0;98.39;98.39;8.7901;7.7505;7.4998;1.0397;0.2507;0.1183;0.0285;0.8532;149.54;0.7872;0
01/01/21 09:00;49.808;-84.615;3.4724;49.933;40.067;-90;-40.067;672.5;281.7;390.79;22.84;0;0;510.65;119.44;191.27;19.855;15.784;857;0;857;510.65;191.27;139.3;15.784;0.5959;0.181;0;0.0416;832.39;24.61;0;0;9.8745;14.735;825.53;4.3616;0.0611;0.0229;4.1748;0.1029;829.89;2.4972;1.5319;0.5738;0.3883;0.0031;830.16;509.05;190.67;124.86;0.9428;338.7;269.61;114.03;11.014;3.2039;62.183;4.6328;54.373;0;1;0;0;1.2744;0.9713;1;1;0.9173;0.5866;0.9947;0.9999;1;0.9618;0.9951;0.997;0.997;1;0.997;0.997;0.9633;0.8796;0.5819;103.32;105.72;0.6365;-0.0851;14.672;0.6335;2.2465;0.0385;0;0;0;0.088;0.1657;0.1212;0.0003;0.7017;0.7052;82.019;0;0;0;0;0;0;0;0;0;0;0;0;1.8171;0.6103;85.148;85.148;0;64.254;64.254;41.414;0.0502;91231;933.33;1;1.3466;1.3466;0;0;0;0;0;0;83.801;82.019;0;15.626;0;15.052;0;98.418;98.418;20.568;16.95;16.327;3.6183;0.6228;0.1759;0.0303;0.7938;85.785;0.7536;0
