PVSYST 8.0.15
;File;File date;Description
Project;25_09_13_Bomen PVSyst - 2021_whole_site.PRJ;14/09/25 16h14;25_09_13_Bomen PVSyst - 2021_whole_site;
Geographical Site;Wagga Wagga;14/09/25 16h14;Wagga Wagga;Australia;Australia;;
Weather data;Wagga Wagga 2021 GHI_Custom_Imported.MET;13/06/24 14h46;Wagga Wagga 2021 GHI;Custom file;Imported;
Simulation variant;25_09_13_Bomen PVSyst - 2021_whole_site.VCQ;13/09/25 23h05;24_10_08_Match_measured_inv_2_1Uc14Hay;
Simulation date;;14/09/25 18h34

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;EUnused;IL_Nigh;Aux_Lss;EACOhmL;EMVOhmL;EHVOhmL;EMVTrfL;EHVTrfL;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;-1.6959;-1.6959;0;19.83;0;0;0;-1.6959;0;0;0;-1.6959;-1.6959;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.83;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0825;0;0.0825;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;-1.9915;-1.9915;0;19.43;0;0;0;-1.9915;0;0;0;-1.9915;-1.9915;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.43;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;-1.9915;-1.9915;0;19.1;0;0;0;-1.9915;0;0;0;-1.9915;-1.9915;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.1;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;-1.9915;-1.9915;0;18.91;0;0;0;-1.9915;0;0;0;-1.9915;-1.9915;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.91;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 04:00;0;0;90;0;0;90;0;-1.9915;-1.9915;0;18.91;0;0;0;-1.9915;0;0;0;-1.9915;-1.9915;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.91;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 05:00;3.8932;-115.48;81.525;4.311;5.0792;-90;-5.0792;4.1973;4.1973;0;18.89;0;0;0;4.1891;0;0;0.0016;4.1907;4.1907;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0163;0.088;0;0;0;0.1209;0.12;-0.3452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.89;0;0;0;0;0.0163;0;0;0;0;0;0;0;-0.0163;-0.3452;0;0;0;0;0;0;0;0;0;-0.0687;0;0.0687;1;1;0;0;0;0
01/01/21 06:00;13.552;-108.72;59.429;14.279;18.088;-90;-18.088;29.008;28.803;0.2051;18.98;0;0;0.4453;28.074;0.0388;0;0.1434;28.701;0;28.701;0.4453;0.0388;28.074;0.1434;0.0155;0.9831;0;0.005;28.022;0.6787;0;0;0.5573;0.1214;26.938;1.0001;0.0156;0.0014;0.9783;0.0049;27.938;0.0841;0.0013;0.0001;0.0825;0.0001;26.974;0.4284;0.0373;26.456;0.017;17.446;13.887;5.5073;0.0704;0.1586;3.0787;0.0355;3.1669;0;1;0;0;0.9894;0.9764;1;1;0.9801;0.1533;0.9642;0.9649;1;0.9643;0.7757;0.997;0.997;1;0.997;0.997;0.9386;0.9424;0.1186;3.4604;3.5246;0.0212;0.4264;-0.0595;0.022;0.0779;0.002;0;0;0;0.088;0.0002;0.0001;0;0.1216;0.1207;2.4801;0;0;0;0;0;0;0;0;0;0;0;0;0.063;0.0026;2.9691;2.9691;0;20.418;20.418;1.4384;0.0534;2954.3;1005;1;0.1585;0.1585;0;0;0;0;0;0;2.8106;2.4801;0;16.27;0;13.59;0;94.662;94.662;0.6888;0.591;0.4937;0.0978;0.0974;0.142;0.1413;0.7167;17.442;0.6643;0
01/01/21 07:00;25.397;-101.18;21.425;25.825;45.174;-90;-45.174;118.5;115.2;3.299;19.47;0;0;7.1604;97.669;1.362;0;3.4961;109.69;0;109.69;7.1604;1.362;97.669;3.4961;0.0653;0.9223;0;0.0319;98.131;11.557;0;0;8.253;3.3036;94.911;2.9251;0.0053;0.001;2.9066;0.0123;97.836;0.2944;0.0215;0.0041;0.2682;0.0006;96.232;7.1337;1.3569;86.241;0.1797;73.635;58.614;25.83;6.0449;0.8245;16.002;1.3211;10.781;0;1;0;0;0.9257;0.8946;1;1;0.9155;0.0551;0.9701;0.9993;1;0.9674;0.936;0.997;0.997;1;0.997;0.997;0.8653;0.883;0.0514;13.224;12.999;0.0783;0.6995;-0.0248;0.0857;0.304;0.0109;0;0;0;0.088;0.003;0.0022;0;0.1315;0.1306;10.932;0;0;0;0;0;0;0;0;0;0;0;0;0.2459;0.0158;11.584;11.584;0;24.477;24.477;5.0075;0.0528;11102;1043.5;1;0.2969;0.2969;0;0;0;0;0;0;11.287;10.932;0;16.61;0;15.675;0;97.437;97.437;2.6325;2.306;2.1762;0.3265;0.1298;0.124;0.0493;0.8266;73.35;0.7465;0
01/01/21 08:00;37.554;-93.475;2.7544;37.605;52.395;-90;-52.395;336.1;295.1;41.006;20.74;0;0;67.2;226.26;23.04;0;13.101;329.61;0;329.61;67.2;23.04;226.26;13.101;0.2039;0.7262;0;0.0397;293.39;36.216;0;0;23.717;12.498;285.7;6.8108;0.0064;0.0022;6.7767;0.0256;292.51;0.8802;0.2016;0.0691;0.6076;0.0018;290.75;66.992;22.969;195.16;0.5753;200.87;159.9;71.604;23.428;2.5332;49.165;5.0513;28.27;0;1;0;0;0.9807;0.8901;1;1;0.8952;0.046;0.9767;0.9999;1;0.9664;0.9575;0.997;0.997;1;0.997;0.997;0.8668;0.8625;0.0439;39.739;39.345;0.2369;0.5518;1.5218;0.2592;0.9194;0.0334;0;0;0;0.088;0.028;0.0204;0;0.2188;0.2187;33.835;0;0;0;0;0;0;0;0;0;0;0;0;0.7437;0.0987;34.98;34.98;0;35.811;35.811;15.07;0.0527;33824;1034.2;1;0.5712;0.5712;0;0;0;0;0;0;34.409;33.835;0;16.691;0;16.145;0;98.367;98.367;7.9105;6.9633;6.7354;0.9473;0.2279;0.1198;0.0288;0.8514;182.35;0.7672;0
01/01/21 09:00;49.808;-84.615;3.4724;49.933;40.067;-90;-40.067;672.5;281.7;390.79;22.84;0;0;510.65;158.56;133.36;0;15.784;818.35;0;818.35;510.65;133.36;158.56;15.784;0.624;0.213;0;0.0193;792.37;25.975;0;0;11.24;14.735;785.07;4.9321;0.0611;0.0159;4.7522;0.1029;790;2.3771;1.5319;0.4001;0.442;0.0031;789.8;509.05;132.94;142.13;0.9428;345.93;275.36;116.68;6.4992;3.0287;58.782;4.7302;55.312;0;1;0;0;1.2169;0.9683;1;1;0.9291;0.0665;0.9938;0.9999;1;0.9676;0.9016;0.997;0.997;1;0.997;0.997;0.9593;0.8964;0.0597;98.665;100.54;0.6054;-0.0865;14.271;0.6003;2.1289;0.0362;0;0;0;0.088;0.149;0.109;0.0002;0.6431;0.6461;77.823;0;0;0;0;0;0;0;0;0;0;0;0;1.722;0.5553;80.712;80.712;0;65.068;65.068;42.228;0.0538;86796;929.91;1;1.2539;1.2539;0;0;0;0;0;0;79.458;77.823;0;15.512;0;14.956;0;98.446;98.446;19.64;16.067;15.492;3.5737;0.5752;0.182;0.0293;0.7888;113.88;0.7492;0
