PVSYST 8.0.15
;File;File date;Description
Project;25_08_25_Bowen Solar Farm 2021 - per inverter.PRJ;12/09/25 14h04;25_08_25_Bomen PVSyst - 2021 - per inverter;
Geographical Site;Wagga Wagga;12/09/25 14h04;Wagga Wagga;Australia;Australia;;
Weather data;Bomen Solar Farm CP02_Custom_Imported.MET;12/09/25 00h05;Bomen Solar Farm CP02;Custom file;Imported;
Simulation variant;25_08_25_Bowen Solar Farm 2021 - per inverter.VC1;12/09/25 15h00;24_10_08_Match_measured_inv_2_1Uc30Uv0Perez;
Simulation date;;15/09/25 12h00

Simulation:;Hourly values; from 01/01/21; to 31/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;IL_Nigh;Aux_Lss;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;0;0;0;19.5;7.87;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.5;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.928;0;0.928;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;0;0;0;19.2;7.6401;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.2;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.928;0;0.928;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;0;0;0;18.92;7.2999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.92;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.928;0;0.928;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;0;0;0;18.88;7.14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.88;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.928;0;0.928;1;1;0;0;0;0
01/01/21 04:00;1.5121;-117.29;86.331;1.7013;2.4278;-90;-2.4278;0;0;0;18.9;6.66;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.9;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.928;0;0.928;1;1;0;0;0;0
01/01/21 05:00;8.5702;-112.1;68.813;9.2386;13.677;-90;-13.677;15.194;15.001;0.1932;19;6.26;0;0.4686;15.631;-2.0742;-0.3067;0.0439;13.763;0;13.763;0.4686;-2.0742;15.325;0.0439;0.034;1.1167;0;-0.0191;13.541;0.222;0;0;0.1858;0.0363;13.069;0.4317;0.0444;-0.1964;0.582;0.0017;13.5;0.0406;0.0014;-0.0062;0.0454;0;13.078;0.4228;-1.8716;14.512;0.0059;9.5629;7.612;2.9977;-0.0053;0.0858;1.6658;0.0096;1.7569;0;1;0;0;0.9058;0.9839;1;1;0.9881;1;0.968;0.905;1;0.9622;1;0.997;0.997;1;0.997;1;0.9496;0.9479;1;0.0315;0.0327;0.0002;0.0057;-0.0007;0.0002;0.0007;0;0;0;0.088;-0.0645;0;0;0;0;0;0;0;0;0;0;0;0;0.0006;0;0.026;0.026;0;19.33;19.33;0.3299;0.0252;26.689;976;1;0.0025;0.0025;0;0;0;0;0;0;0.0235;-0.0645;0;15.574;18.035;-38.559;-44.65;90.249;90.249;0.3303;0.2736;-0.6773;0.0568;0.9508;0.1718;2.8785;0;9.5747;0;0
01/01/21 06:00;20.214;-104.43;33.072;20.816;38.711;-90;-38.711;45.091;44.698;0.3938;19.2;7.4499;0;0.9551;41.043;-3.419;-2.2484;1.0104;37.341;0;37.341;0.9551;-3.419;38.794;1.0104;0.0256;1.066;0;-0.0332;33.887;3.4537;0;0;2.5423;0.9114;32.613;1.1722;0.0027;-0.0097;1.1691;0.0101;33.785;0.1017;0.0029;-0.0103;0.1088;0.0003;32.983;0.9495;-3.3991;34.974;0.0887;29.193;23.237;9.9736;0.8311;0.2632;5.1086;0.3703;4.5408;0;1;0;0;0.8281;0.9075;1;1;0.9381;1;0.9653;0.9972;1;0.9695;1;0.997;0.997;1;0.997;1;0.8734;0.9068;1;0.0853;0.084;0.0005;0.0091;-0.0015;0.0005;0.0019;0.0001;0;0;0.088;-0.0199;0;0;0;0;0;0;0;0;0;0;0;0;0.0015;0.0001;0.0719;0.0719;0;20.011;20.011;0.8115;0.0249;70.707;1016.3;1;0.0038;0.0038;0;0;0;0;0;0;0.0681;-0.0199;0;15.836;18.338;-4.3885;-5.0817;94.748;94.748;0.8962;0.7546;-0.2091;0.1415;0.9638;0.1579;1.0754;0;29.211;0;0
01/01/21 07:00;32.261;-96.883;5.8166;32.448;57.552;-90;-57.552;267.9;223.8;44.102;20.18;7.9;0;82.198;141.94;72.776;-5.519;12.665;304.06;0;304.06;82.198;72.776;136.42;12.665;0.2703;0.4903;0;0.0235;276.38;27.682;0;0;15.977;11.705;271.3;4.2469;0.0165;0.0146;4.1668;0.049;275.55;0.8291;0.2466;0.2183;0.3613;0.0029;275.69;81.935;72.543;115.92;0.9079;141.44;112.59;51.45;17.821;1.7981;34.898;4.3866;18.875;0;1;0;0;1.135;0.909;1;1;0.8874;-0.638;0.9846;0.9998;1;0.9668;1;0.997;0.997;1;0.997;1;0.8923;0.8554;-0.643;0.6949;0.6895;0.0042;0.0113;0.0045;0.0047;0.0166;0.0005;0;0;0.088;0.5336;0;0;0;0;0;0;0;0;0;0;0;0;0.0135;0.0016;0.6327;0.6327;0;26.821;26.821;6.6407;0.0245;591.05;1070.5;1;0.0111;0.0111;0;0;0;0;0;0;0.6216;0.5336;0;17.123;19.828;14.441;16.722;98.243;98.243;7.2974;6.6446;5.6037;0.6528;1.0409;0.0895;0.1426;0.7679;121.05;0.7081;0
