PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 09/09/25 14:35,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,24_10_08_Match_measured inv 1-1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_1,Y,Bomen solar farm 2021 10 0.0 Perez model.csv,10,0,24_10_08_Match_measured_inv_2_1Uc10Uv0
SIM_2,Y,Bomen solar farm 2021 10 0.1 Perez model.csv,10,0.1,24_10_08_Match_measured_inv_2_1Uc10Uv0.1
SIM_3,Y,Bomen solar farm 2021 10 0.2 Perez model.csv,10,0.2,24_10_08_Match_measured_inv_2_1Uc10Uv0.2
SIM_4,Y,Bomen solar farm 2021 10 0.3 Perez model.csv,10,0.3,24_10_08_Match_measured_inv_2_1Uc10Uv0.3
SIM_5,Y,Bomen solar farm 2021 10 0.4 Perez model.csv,10,0.4,24_10_08_Match_measured_inv_2_1Uc10Uv0.4
SIM_6,Y,Bomen solar farm 2021 10 0.5 Perez model.csv,10,0.5,24_10_08_Match_measured_inv_2_1Uc10Uv0.5
SIM_7,Y,Bomen solar farm 2021 10 0.6 Perez model.csv,10,0.6,24_10_08_Match_measured_inv_2_1Uc10Uv0.6
SIM_8,Y,Bomen solar farm 2021 10 0.7 Perez model.csv,10,0.7,24_10_08_Match_measured_inv_2_1Uc10Uv0.7
SIM_9,Y,Bomen solar farm 2021 10 0.8 Perez model.csv,10,0.8,24_10_08_Match_measured_inv_2_1Uc10Uv0.8
SIM_10,Y,Bomen solar farm 2021 10 0.9 Perez model.csv,10,0.9,24_10_08_Match_measured_inv_2_1Uc10Uv0.9
SIM_11,Y,Bomen solar farm 2021 10 1.0 Perez model.csv,10,1,24_10_08_Match_measured_inv_2_1Uc10Uv1
SIM_12,Y,Bomen solar farm 2021 10 1.1 Perez model.csv,10,1.1,24_10_08_Match_measured_inv_2_1Uc10Uv1.1
SIM_13,Y,Bomen solar farm 2021 10 1.2 Perez model.csv,10,1.2,24_10_08_Match_measured_inv_2_1Uc10Uv1.2
SIM_14,Y,Bomen solar farm 2021 10 1.3 Perez model.csv,10,1.3,24_10_08_Match_measured_inv_2_1Uc10Uv1.3
SIM_15,Y,Bomen solar farm 2021 10 1.4 Perez model.csv,10,1.4,24_10_08_Match_measured_inv_2_1Uc10Uv1.4
SIM_16,Y,Bomen solar farm 2021 10 1.5 Perez model.csv,10,1.5,24_10_08_Match_measured_inv_2_1Uc10Uv1.5
SIM_17,Y,Bomen solar farm 2021 10 1.6 Perez model.csv,10,1.6,24_10_08_Match_measured_inv_2_1Uc10Uv1.6
SIM_18,Y,Bomen solar farm 2021 10 1.7 Perez model.csv,10,1.7,24_10_08_Match_measured_inv_2_1Uc10Uv1.7
SIM_19,Y,Bomen solar farm 2021 10 1.8 Perez model.csv,10,1.8,24_10_08_Match_measured_inv_2_1Uc10Uv1.8
SIM_20,Y,Bomen solar farm 2021 10 1.9 Perez model.csv,10,1.9,24_10_08_Match_measured_inv_2_1Uc10Uv1.9
SIM_21,Y,Bomen solar farm 2021 10 2.0 Perez model.csv,10,2,24_10_08_Match_measured_inv_2_1Uc10Uv2
SIM_22,Y,Bomen solar farm 2021 11 0.0 Perez model.csv,11,0,24_10_08_Match_measured_inv_2_1Uc11Uv0
SIM_23,Y,Bomen solar farm 2021 11 0.1 Perez model.csv,11,0.1,24_10_08_Match_measured_inv_2_1Uc11Uv0.1
SIM_24,Y,Bomen solar farm 2021 11 0.2 Perez model.csv,11,0.2,24_10_08_Match_measured_inv_2_1Uc11Uv0.2
SIM_25,Y,Bomen solar farm 2021 11 0.3 Perez model.csv,11,0.3,24_10_08_Match_measured_inv_2_1Uc11Uv0.3
SIM_26,Y,Bomen solar farm 2021 11 0.4 Perez model.csv,11,0.4,24_10_08_Match_measured_inv_2_1Uc11Uv0.4
SIM_27,Y,Bomen solar farm 2021 11 0.5 Perez model.csv,11,0.5,24_10_08_Match_measured_inv_2_1Uc11Uv0.5
SIM_28,Y,Bomen solar farm 2021 11 0.6 Perez model.csv,11,0.6,24_10_08_Match_measured_inv_2_1Uc11Uv0.6
SIM_29,Y,Bomen solar farm 2021 11 0.7 Perez model.csv,11,0.7,24_10_08_Match_measured_inv_2_1Uc11Uv0.7
SIM_30,Y,Bomen solar farm 2021 11 0.8 Perez model.csv,11,0.8,24_10_08_Match_measured_inv_2_1Uc11Uv0.8
SIM_31,Y,Bomen solar farm 2021 11 0.9 Perez model.csv,11,0.9,24_10_08_Match_measured_inv_2_1Uc11Uv0.9
SIM_32,Y,Bomen solar farm 2021 11 1.0 Perez model.csv,11,1,24_10_08_Match_measured_inv_2_1Uc11Uv1
SIM_33,Y,Bomen solar farm 2021 11 1.1 Perez model.csv,11,1.1,24_10_08_Match_measured_inv_2_1Uc11Uv1.1
SIM_34,Y,Bomen solar farm 2021 11 1.2 Perez model.csv,11,1.2,24_10_08_Match_measured_inv_2_1Uc11Uv1.2
SIM_35,Y,Bomen solar farm 2021 11 1.3 Perez model.csv,11,1.3,24_10_08_Match_measured_inv_2_1Uc11Uv1.3
SIM_36,Y,Bomen solar farm 2021 11 1.4 Perez model.csv,11,1.4,24_10_08_Match_measured_inv_2_1Uc11Uv1.4
SIM_37,Y,Bomen solar farm 2021 11 1.5 Perez model.csv,11,1.5,24_10_08_Match_measured_inv_2_1Uc11Uv1.5
SIM_38,Y,Bomen solar farm 2021 11 1.6 Perez model.csv,11,1.6,24_10_08_Match_measured_inv_2_1Uc11Uv1.6
SIM_39,Y,Bomen solar farm 2021 11 1.7 Perez model.csv,11,1.7,24_10_08_Match_measured_inv_2_1Uc11Uv1.7
SIM_40,Y,Bomen solar farm 2021 11 1.8 Perez model.csv,11,1.8,24_10_08_Match_measured_inv_2_1Uc11Uv1.8
SIM_41,Y,Bomen solar farm 2021 11 1.9 Perez model.csv,11,1.9,24_10_08_Match_measured_inv_2_1Uc11Uv1.9
SIM_42,Y,Bomen solar farm 2021 11 2.0 Perez model.csv,11,2,24_10_08_Match_measured_inv_2_1Uc11Uv2
SIM_43,Y,Bomen solar farm 2021 12 0.0 Perez model.csv,12,0,24_10_08_Match_measured_inv_2_1Uc12Uv0
SIM_44,Y,Bomen solar farm 2021 12 0.1 Perez model.csv,12,0.1,24_10_08_Match_measured_inv_2_1Uc12Uv0.1
SIM_45,Y,Bomen solar farm 2021 12 0.2 Perez model.csv,12,0.2,24_10_08_Match_measured_inv_2_1Uc12Uv0.2
SIM_46,Y,Bomen solar farm 2021 12 0.3 Perez model.csv,12,0.3,24_10_08_Match_measured_inv_2_1Uc12Uv0.3
SIM_47,Y,Bomen solar farm 2021 12 0.4 Perez model.csv,12,0.4,24_10_08_Match_measured_inv_2_1Uc12Uv0.4
SIM_48,Y,Bomen solar farm 2021 12 0.5 Perez model.csv,12,0.5,24_10_08_Match_measured_inv_2_1Uc12Uv0.5
SIM_49,Y,Bomen solar farm 2021 12 0.6 Perez model.csv,12,0.6,24_10_08_Match_measured_inv_2_1Uc12Uv0.6
SIM_50,Y,Bomen solar farm 2021 12 0.7 Perez model.csv,12,0.7,24_10_08_Match_measured_inv_2_1Uc12Uv0.7
SIM_51,Y,Bomen solar farm 2021 12 0.8 Perez model.csv,12,0.8,24_10_08_Match_measured_inv_2_1Uc12Uv0.8
SIM_52,Y,Bomen solar farm 2021 12 0.9 Perez model.csv,12,0.9,24_10_08_Match_measured_inv_2_1Uc12Uv0.9
SIM_53,Y,Bomen solar farm 2021 12 1.0 Perez model.csv,12,1,24_10_08_Match_measured_inv_2_1Uc12Uv1
SIM_54,Y,Bomen solar farm 2021 12 1.1 Perez model.csv,12,1.1,24_10_08_Match_measured_inv_2_1Uc12Uv1.1
SIM_55,Y,Bomen solar farm 2021 12 1.2 Perez model.csv,12,1.2,24_10_08_Match_measured_inv_2_1Uc12Uv1.2
SIM_56,Y,Bomen solar farm 2021 12 1.3 Perez model.csv,12,1.3,24_10_08_Match_measured_inv_2_1Uc12Uv1.3
SIM_57,Y,Bomen solar farm 2021 12 1.4 Perez model.csv,12,1.4,24_10_08_Match_measured_inv_2_1Uc12Uv1.4
SIM_58,Y,Bomen solar farm 2021 12 1.5 Perez model.csv,12,1.5,24_10_08_Match_measured_inv_2_1Uc12Uv1.5
SIM_59,Y,Bomen solar farm 2021 12 1.6 Perez model.csv,12,1.6,24_10_08_Match_measured_inv_2_1Uc12Uv1.6
SIM_60,Y,Bomen solar farm 2021 12 1.7 Perez model.csv,12,1.7,24_10_08_Match_measured_inv_2_1Uc12Uv1.7
SIM_61,Y,Bomen solar farm 2021 12 1.8 Perez model.csv,12,1.8,24_10_08_Match_measured_inv_2_1Uc12Uv1.8
SIM_62,Y,Bomen solar farm 2021 12 1.9 Perez model.csv,12,1.9,24_10_08_Match_measured_inv_2_1Uc12Uv1.9
SIM_63,Y,Bomen solar farm 2021 12 2.0 Perez model.csv,12,2,24_10_08_Match_measured_inv_2_1Uc12Uv2
SIM_64,Y,Bomen solar farm 2021 13 0.0 Perez model.csv,13,0,24_10_08_Match_measured_inv_2_1Uc13Uv0
SIM_65,Y,Bomen solar farm 2021 13 0.1 Perez model.csv,13,0.1,24_10_08_Match_measured_inv_2_1Uc13Uv0.1
SIM_66,Y,Bomen solar farm 2021 13 0.2 Perez model.csv,13,0.2,24_10_08_Match_measured_inv_2_1Uc13Uv0.2
SIM_67,Y,Bomen solar farm 2021 13 0.3 Perez model.csv,13,0.3,24_10_08_Match_measured_inv_2_1Uc13Uv0.3
SIM_68,Y,Bomen solar farm 2021 13 0.4 Perez model.csv,13,0.4,24_10_08_Match_measured_inv_2_1Uc13Uv0.4
SIM_69,Y,Bomen solar farm 2021 13 0.5 Perez model.csv,13,0.5,24_10_08_Match_measured_inv_2_1Uc13Uv0.5
SIM_70,Y,Bomen solar farm 2021 13 0.6 Perez model.csv,13,0.6,24_10_08_Match_measured_inv_2_1Uc13Uv0.6
SIM_71,Y,Bomen solar farm 2021 13 0.7 Perez model.csv,13,0.7,24_10_08_Match_measured_inv_2_1Uc13Uv0.7
SIM_72,Y,Bomen solar farm 2021 13 0.8 Perez model.csv,13,0.8,24_10_08_Match_measured_inv_2_1Uc13Uv0.8
SIM_73,Y,Bomen solar farm 2021 13 0.9 Perez model.csv,13,0.9,24_10_08_Match_measured_inv_2_1Uc13Uv0.9
SIM_74,Y,Bomen solar farm 2021 13 1.0 Perez model.csv,13,1,24_10_08_Match_measured_inv_2_1Uc13Uv1
SIM_75,Y,Bomen solar farm 2021 13 1.1 Perez model.csv,13,1.1,24_10_08_Match_measured_inv_2_1Uc13Uv1.1
SIM_76,Y,Bomen solar farm 2021 13 1.2 Perez model.csv,13,1.2,24_10_08_Match_measured_inv_2_1Uc13Uv1.2
SIM_77,Y,Bomen solar farm 2021 13 1.3 Perez model.csv,13,1.3,24_10_08_Match_measured_inv_2_1Uc13Uv1.3
