PVSYST 8.0.15
;File;File date;Description
Project;25_08_25_Bowen Solar Farm 2021 - per inverter.PRJ;15/09/25 12h08;25_08_25_Bomen PVSyst - 2021 - per inverter;
Geographical Site;Wagga Wagga;15/09/25 12h08;Wagga Wagga;Australia;Australia;;
Weather data;Bomen Solar Farm 2021 with wind speed.MET;05/09/25 16h07;Bomen Solar Farm 2021 wind;Custom file;Imported;
Simulation variant;25_08_25_Bowen Solar Farm 2021 - per inverter.VOD;16/09/25 23h12;24_10_08_Match_measured_inv_1_2Uc20Hay;
Simulation date;;17/09/25 00h05

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;IL_Nigh;Aux_Lss;EACOhmL;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;0;0;0;19.55;7.6599;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.55;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;0;0;0;19.25;7.3299;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.25;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;0;0;0;18.96;7.1501;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.96;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;0;0;0;18.92;6.6999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.92;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 04:00;0.7871;-117.86;88.291;0.8903;1.0424;-90;-1.0424;0;0;0;18.9;6.2901;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.9;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 05:00;7.0605;-113.17;74.526;7.6727;9.1728;-90;-9.1728;13.909;13.803;0.1056;19;7.35;0;0.2293;14.467;-1.644;-0.1905;0.0181;12.88;0;12.88;0.2293;-1.644;14.277;0.0181;0.0178;1.1098;0;-0.0134;12.775;0.1048;0;0;0.0897;0.0151;12.4;0.3373;0.0403;-0.2888;0.5852;0.0007;12.737;0.0383;0.0007;-0.0049;0.0426;0;12.403;0.1883;-1.3503;13.559;0.0024;8.6522;6.8871;2.6919;-0.0031;0.1044;1.5023;0.003;1.6099;0;1;0;0;0.9261;0.9919;1;1;0.9938;1;0.9735;0.8238;1;0.9592;1;0.997;0.997;1;0.997;1;0.9627;0.9504;1;0.0365;0.0383;0.0002;0.0068;-0.0008;0.0002;0.0008;0.0002;0;0;0.088;0;-0.0605;0;0;0;0;0;0;0;0;0;0;0;0;0.0006;0;0.0301;0.0301;0;19.47;19.47;0.4701;0.0379;31.071;969.17;1;0.0026;0.0026;0;0;0;0;0;0;0.0275;-0.0605;0;15.508;17.958;-31.158;-36.081;91.308;91.308;0.3091;0.2549;-0.5122;0.0542;0.7671;0.1754;2.4815;0;8.6554;0;0
01/01/21 06:00;18.633;-105.43;46.093;19.279;26.498;-90;-26.498;44.597;44.202;0.3951;19.16;7.86;0;0.8577;43.125;-2.8513;-1.5897;0.4779;40.02;0;40.02;0.8577;-2.8513;41.535;0.4779;0.0214;1.0498;0;-0.0278;38.096;1.9242;0;0;1.5128;0.4114;36.67;1.3111;0.0089;-0.0297;1.3188;0.0131;37.981;0.1143;0.0026;-0.0086;0.1201;0.0002;36.814;0.8461;-2.813;38.584;0.0533;27.774;22.108;9.0031;0.142;0.3216;4.6264;0.1438;4.8059;0;1;0;0;0.8974;0.9519;1;1;0.9649;1;0.9655;0.9896;1;0.9682;1;0.997;0.997;1;0.997;1;0.9163;0.9314;1;0.1135;0.1142;0.0007;0.0118;-0.0019;0.0007;0.0026;0.0008;0;0;0.088;0;0.0049;0;0;0;0;0;0;0;0;0;0;0;0;0.0021;0.0001;0.0973;0.0973;0;20.527;20.527;1.3671;0.0373;95.934;1014.4;1;0.0044;0.0044;0;0;0;0;0;0;0.0929;0.0049;0;16.13;18.678;0.8135;0.942;95.471;95.471;0.9605;0.8238;0.0415;0.1367;0.7822;0.1423;0.8144;0.0433;27.778;0.0398;0
01/01/21 07:00;30.638;-97.905;6.7961;30.879;59.121;-90;-59.121;244.4;216;28.395;20.06;7.36;0;55.327;135.28;72.504;-5.5325;12.135;269.71;0;269.71;55.327;72.504;129.74;12.135;0.2051;0.526;0;0.0245;242.42;27.285;0;0;15.967;11.319;237.63;4.0651;0.0129;0.017;3.9852;0.05;241.7;0.7273;0.166;0.2175;0.3413;0.0024;241.9;55.148;72.27;109.45;0.7636;129.75;103.28;47.704;18.729;2.3098;33.225;4.2666;16.806;0;1;0;0;1.1036;0.8988;1;1;0.882;-0.7144;0.9832;0.9998;1;0.9665;1;0.997;0.997;1;0.997;1;0.8811;0.8499;-0.7198;0.7647;0.7558;0.0046;0.0152;0.0103;0.0051;0.018;0.006;0;0;0.088;0;0.5807;0;0;0;0;0;0;0;0;0;0;0;0;0.0146;0.0016;0.6803;0.6803;0;28.808;28.808;8.7479;0.0368;645.28;1054.3;1;0.0116;0.0116;0;0;0;0;0;0;0.6687;0.5807;0;16.732;19.375;14.282;16.538;98.294;98.294;6.473;5.7592;4.916;0.7138;0.8432;0.1103;0.1303;0.7595;116.59;0.6953;0
