PVSYST 8.0.15
;File;File date;Description
Project;25_08_25_Bowen Solar Farm 2021 - per inverter.PRJ;23/10/25 12h41;25_08_25_Bomen PVSyst - 2021 - per inverter;
Geographical Site;Wagga Wagga;23/10/25 12h41;Wagga Wagga;Australia;Australia;;
Weather data;Bomen Solar Farm 2021 with wind speed.MET;05/09/25 17h07;Bomen Solar Farm 2021 wind;Custom file;Imported;
Simulation variant;25_08_25_Bowen Solar Farm 2021 - per inverter.VDB;26/10/25 23h53;24_10_08_Match_measured_inv_10_2Uc13Uv0.4Hay;
Simulation date;;27/10/25 11h09

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;IL_Nigh;Aux_Lss;EACOhmL;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;0;0;0;19.55;7.6599;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.55;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-1.0063;0;1.0063;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;0;0;0;19.25;7.3299;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.25;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-1.0063;0;1.0063;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;0;0;0;18.96;7.1501;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.96;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-1.0063;0;1.0063;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;0;0;0;18.92;6.6999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.92;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-1.0063;0;1.0063;1;1;0;0;0;0
01/01/21 04:00;0.7871;-117.86;88.171;0.8903;1.1785;-90;-1.1785;0;0;0;18.9;6.2901;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.9;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-1.0063;0;1.0063;1;1;0;0;0;0
01/01/21 05:00;7.0605;-113.17;73.406;7.6727;10.399;-90;-10.399;13.909;13.803;0.1056;19;7.35;0;0.2455;13.681;0.0195;0;0.0233;13.97;0;13.97;0.2455;0.0195;13.681;0.0233;0.0176;0.981;0;0.0017;13.845;0.1243;0;0;0.105;0.0193;13.212;0.592;0.0381;0.003;0.5499;0.0009;13.804;0.0415;0.0007;0.0001;0.0407;0;13.216;0.2066;0.0164;12.986;0.0031;8.2098;6.535;2.5584;0.0046;0.0993;1.4287;0.0041;1.5234;0;1;0;0;1.0044;0.9911;1;1;0.9923;0.172;0.9571;0.8442;1;0.9594;0.7777;0.997;0.997;1;0.997;0.997;0.9458;0.9492;0.1333;0.0294;0.03;0.0002;0.0051;-0.0006;0.0002;0.0006;0.0002;0;0;0.088;0;-0.0666;0;0;0;0;0;0;0;0;0;0;0;0;0.0005;0;0.0239;0.0239;0;19.626;19.626;0.6259;0.0474;24.519;972.81;1;0.0025;0.0025;0;0;0;0;0;0;0.0214;-0.0666;0;15.433;17.871;-43.115;-49.926;89.579;89.579;0.3353;0.2716;-0.7588;0.0637;1.0304;0.1899;3.0734;0;8.2092;0;0
01/01/21 06:00;18.633;-105.43;42.069;19.279;30.817;-90;-30.817;44.597;44.202;0.3951;19.16;7.86;0;0.9181;41.046;0.0899;0;0.6423;42.696;0;42.696;0.9181;0.0899;41.046;0.6423;0.0215;0.9764;0;0.015;40.244;2.4519;0;0;1.8908;0.5611;38.833;1.2903;0.0074;0.0007;1.2687;0.0135;40.124;0.1207;0.0028;0.0003;0.1175;0.0002;39.035;0.9079;0.0889;37.769;0.0675;27.21;21.659;8.9718;0.6822;0.3405;4.8983;0.2014;4.5567;0;1;0;0;0.9574;0.9426;1;1;0.9539;0.1264;0.9678;0.9919;1;0.9675;0.8335;0.997;0.997;1;0.997;0.997;0.9095;0.9202;0.105;0.09;0.0898;0.0005;0.0088;-0.0013;0.0006;0.002;0.0006;0;0;0.088;0;-0.0151;0;0;0;0;0;0;0;0;0;0;0;0;0.0016;0.0001;0.0768;0.0768;0;20.948;20.948;1.7882;0.046;75.552;1016.2;1;0.0039;0.0039;0;0;0;0;0;0;0.0729;-0.0151;0;16.254;18.822;-3.201;-3.7066;94.922;94.922;1.0247;0.8743;-0.1722;0.1504;1.0465;0.1468;1.0213;0;27.208;0;0
01/01/21 07:00;30.638;-97.905;6.7961;30.879;59.121;-90;-59.121;244.4;216;28.395;20.06;7.36;0;55.327;156.98;16.607;0;12.135;241.05;0;241.05;55.327;16.607;156.98;12.135;0.2295;0.7016;0;0.0503;210.56;30.486;0;0;19.204;11.282;205.05;4.8808;0.0129;0.0039;4.8169;0.047;209.93;0.6317;0.166;0.0498;0.4133;0.0026;209.72;55.148;16.553;132.55;0.8031;142.7;113.59;52.843;24.899;2.7954;40.211;4.672;18.108;0;1;0;0;0.9863;0.8735;1;1;0.8777;0.0703;0.9768;0.9998;1;0.9649;0.9447;0.997;0.997;1;0.997;0.997;0.8507;0.8443;0.0662;0.508;0.5028;0.003;0.0118;0.0082;0.0034;0.0119;0.0054;0;0;0.088;0;0.3519;0;0;0;0;0;0;0;0;0;0;0;0;0.0096;0.0009;0.4486;0.4486;0;29.523;29.523;9.4633;0.0462;428.33;1047.4;1;0.0087;0.0087;0;0;0;0;0;0;0.4399;0.3519;0;16.823;19.48;13.197;15.282;98.064;98.064;5.7852;5.1088;4.0078;0.6764;1.101;0.1169;0.1903;0.6928;135.3;0.6159;0
