PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 08/09/25 15:02,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,25_09_07_Match_measured_2_1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_1,Y,Bomen solar farm 2021 10 0.0 Hay model.csv,10,0,24_10_08_Match_measured_inv_2_1
SIM_2,Y,Bomen solar farm 2021 10 0.1 Hay model.csv,10,0.1,24_10_08_Match_measured_inv_2_2
SIM_3,Y,Bomen solar farm 2021 10 0.2 Hay model.csv,10,0.2,24_10_08_Match_measured_inv_2_3
SIM_4,Y,Bomen solar farm 2021 10 0.3 Hay model.csv,10,0.3,24_10_08_Match_measured_inv_2_4
SIM_5,Y,Bomen solar farm 2021 10 0.4 Hay model.csv,10,0.4,24_10_08_Match_measured_inv_2_5
SIM_6,Y,Bomen solar farm 2021 10 0.5 Hay model.csv,10,0.5,24_10_08_Match_measured_inv_2_6
SIM_7,Y,Bomen solar farm 2021 10 0.6 Hay model.csv,10,0.6,24_10_08_Match_measured_inv_2_7
SIM_8,Y,Bomen solar farm 2021 10 0.7 Hay model.csv,10,0.7,24_10_08_Match_measured_inv_2_8
SIM_9,Y,Bomen solar farm 2021 10 0.8 Hay model.csv,10,0.8,24_10_08_Match_measured_inv_2_9
SIM_10,Y,Bomen solar farm 2021 10 0.9 Hay model.csv,10,0.9,24_10_08_Match_measured_inv_2_10
SIM_11,Y,Bomen solar farm 2021 10 1.0 Hay model.csv,10,1,24_10_08_Match_measured_inv_2_11
SIM_12,Y,Bomen solar farm 2021 10 1.1 Hay model.csv,10,1.1,24_10_08_Match_measured_inv_2_12
SIM_13,Y,Bomen solar farm 2021 10 1.2 Hay model.csv,10,1.2,24_10_08_Match_measured_inv_2_13
SIM_14,Y,Bomen solar farm 2021 10 1.3 Hay model.csv,10,1.3,24_10_08_Match_measured_inv_2_14
SIM_15,Y,Bomen solar farm 2021 10 1.4 Hay model.csv,10,1.4,24_10_08_Match_measured_inv_2_15
SIM_16,Y,Bomen solar farm 2021 10 1.5 Hay model.csv,10,1.5,24_10_08_Match_measured_inv_2_16
SIM_17,Y,Bomen solar farm 2021 10 1.6 Hay model.csv,10,1.6,24_10_08_Match_measured_inv_2_17
SIM_18,Y,Bomen solar farm 2021 10 1.7 Hay model.csv,10,1.7,24_10_08_Match_measured_inv_2_18
SIM_19,Y,Bomen solar farm 2021 10 1.8 Hay model.csv,10,1.8,24_10_08_Match_measured_inv_2_19
SIM_20,Y,Bomen solar farm 2021 10 1.9 Hay model.csv,10,1.9,24_10_08_Match_measured_inv_2_20
SIM_21,Y,Bomen solar farm 2021 10 2.0 Hay model.csv,10,2,24_10_08_Match_measured_inv_2_21
SIM_22,Y,Bomen solar farm 2021 11 0.0 Hay model.csv,11,0,24_10_08_Match_measured_inv_2_22
SIM_23,Y,Bomen solar farm 2021 11 0.1 Hay model.csv,11,0.1,24_10_08_Match_measured_inv_2_23
SIM_24,Y,Bomen solar farm 2021 11 0.2 Hay model.csv,11,0.2,24_10_08_Match_measured_inv_2_24
SIM_25,Y,Bomen solar farm 2021 11 0.3 Hay model.csv,11,0.3,24_10_08_Match_measured_inv_2_25
SIM_26,Y,Bomen solar farm 2021 11 0.4 Hay model.csv,11,0.4,24_10_08_Match_measured_inv_2_26
SIM_27,Y,Bomen solar farm 2021 11 0.5 Hay model.csv,11,0.5,24_10_08_Match_measured_inv_2_27
SIM_28,Y,Bomen solar farm 2021 11 0.6 Hay model.csv,11,0.6,24_10_08_Match_measured_inv_2_28
SIM_29,Y,Bomen solar farm 2021 11 0.7 Hay model.csv,11,0.7,24_10_08_Match_measured_inv_2_29
SIM_30,Y,Bomen solar farm 2021 11 0.8 Hay model.csv,11,0.8,24_10_08_Match_measured_inv_2_30
SIM_31,Y,Bomen solar farm 2021 11 0.9 Hay model.csv,11,0.9,24_10_08_Match_measured_inv_2_31
SIM_32,Y,Bomen solar farm 2021 11 1.0 Hay model.csv,11,1,24_10_08_Match_measured_inv_2_32
