PVsyst simulations Batch mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation parameters definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created on 08/09/25 15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variants based on,,VC3,25_09_07_Match_measured_2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul,Error,HSol,AzSol,AngInc,AngProf,PlTilt,PlAzim,PhiAng,GlobHor,DiffHor,BeamHor,T_Amb,WindVel,PrecWat,BeamTrp,DifITrp,CircTrp,HBndTrp,AlbTrp,GlobTrp,GincThr,GlobInc,BeamInc,CircInc,DifSInc,Alb_Inc,Bm_Gl,DifA_Gl,DifS_Gl,Alb_Gl,GlobShd,ShdLoss,ShdBLss,ShdCLss,ShdDLss,ShdALss,GlobIAM,IAMLoss,IAMBLss,IAMCLss,IAMDLss,IAMALss,GlobSlg,SlgLoss,SlgBLss,SlgCLss,SlgDLss,SlgALss,GlobEff,BeamEff,CircEff,DiffEff,Alb_Eff,GlobGnd,DiffGnd,ReflLss,BkVFLss,DifSBak,BackShd,GlobBak,ReflFrt,ReflBck,BmIncBk,BmSFBak,BIAMFBk,BeamBak,FTransp,FShdGl,FShdBm,FShdCrc,FShdDif,FShdAlb,FIAMGl,FIAMBm,FIAMCrc,FIAMDif,FIAMAlb,FSlgGl,FSlgBm,FSlgCrc,FSlgDif,FSlgAlb,FIAMShd,FEffDif,FEffAlb,EArrRef,EArrNom,DegrLss,GIncLss,TempLss,SpctCor,ModQual,LIDLoss,MismBak,UnavLss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,IL_Nigh,Aux_Lss,EUseful,TotInstCost,ModuleCost,InverterCost,OptimizerCost,BatteryCost,OwnFunds,TotLoan,AvgOpCost_yr,LCOE,NPV,IRR,PaybackPeriod,ROI
,,file,Uc fact,Uw fact,Comment,,�,�,�,�,�,�,�,kWh/m�,kWh/m�,kWh/m�,캜,m/s,m,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,ratio,ratio,ratio,ratio,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,ratio,ratio,kWh/m�,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
,Y/N,File name,[W/m2K],[W/m2K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIM_1,Y,Bomen solar farm 2021 10 0.0 Hay model.csv,10,0,24_10_08_Match_measured_inv_2_1,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.244,,0.032,0.112,0.018,0.163,0.073,0,0,0,0,0,0.002,0.758,3.241,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_2,Y,Bomen solar farm 2021 10 0.1 Hay model.csv,10,0.1,24_10_08_Match_measured_inv_2_2,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.24,,0.032,0.112,0.018,0.163,0.073,0,0,0,0,0,0.002,0.758,3.245,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_3,Y,Bomen solar farm 2021 10 0.2 Hay model.csv,10,0.2,24_10_08_Match_measured_inv_2_3,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.235,,0.032,0.112,0.018,0.163,0.073,0,0,0,0,0,0.002,0.758,3.249,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_4,Y,Bomen solar farm 2021 10 0.3 Hay model.csv,10,0.3,24_10_08_Match_measured_inv_2_4,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.231,,0.032,0.112,0.018,0.163,0.073,0,0,0,0,0,0.002,0.758,3.252,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_5,Y,Bomen solar farm 2021 10 0.4 Hay model.csv,10,0.4,24_10_08_Match_measured_inv_2_5,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.227,,0.032,0.113,0.018,0.163,0.074,0,0,0,0,0,0.002,0.758,3.256,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_6,Y,Bomen solar farm 2021 10 0.5 Hay model.csv,10,0.5,24_10_08_Match_measured_inv_2_6,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.223,,0.032,0.113,0.018,0.163,0.074,0,0,0,0,0,0.002,0.758,3.259,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_7,Y,Bomen solar farm 2021 10 0.6 Hay model.csv,10,0.6,24_10_08_Match_measured_inv_2_7,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.22,,0.032,0.113,0.018,0.163,0.074,0,0,0,0,0,0.002,0.758,3.263,0,0,0,0,0,0,0,0,0,0,0,0,0
