PVsyst simulations Batch mode;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Simulation parameters definition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File created on 08/09/25 00:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project;;;25_08_25_Bowen Solar Farm 2021.PRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variants based on;;VC3;25_09_07_Match_measured_2_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ident;Save VCi;Create hourly;Thermal;Thermal;Simul;Error;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;DiffGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;SpctCor;ModQual;LIDLoss;MismBak;UnavLss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;IL_Nigh;Aux_Lss;EUseful;TotInstCost;ModuleCost;InverterCost;OptimizerCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI
;;file;Uc fact;Uw fact;Comment;;�;�;�;�;�;�;�;kWh/m�;kWh/m�;kWh/m�;캜;m/s;m;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;ratio;ratio;ratio;ratio;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;kWh/m�;ratio;ratio;kWh/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh
;Y/N;File name;[W/m2K];[W/m2K];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIM_1;Y;Bomen solar farm 2021 10 0.0 Perez model.csv;10;0;24_10_08_Match_measured_inv_2_1;Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).;143617;-54.88;554180;180320;131998;358470;78.07;1628;546.0;1082;13.43;3.710;0.000;1467;311.2;270.1;22.36;26.61;2098;-0.509;2098;1467;270.2;334.0;26.61;0.6994;0.1717;0.0000;0.0233;2057;41.34;0.000;0.000;17.34;24.00;2028;23.45;10.01;1.947;11.22;0.271;2051;5.378;3.865;0.701;0.804;0.007;2034;1453;267.5;304.6;2.334;783.2;213.6;637.1;237.2;19.27;8.981;129.2;6.215;118.9;0.000;0.4550;0.0000;0.000;1.289;0.9803;1.000;1.000;0.9443;0.5100;0.9886;0.9932;1.000;0.9617;0.9891;0.9974;0.9974;1.000;0.9974;0.9974;0.9666;0.9057;0.5031;4.795;4.881;0.029;0.023;0.251;;0.032;0.114;0.018;0.164;0.074;0.000;0.000;0.000;0.000;0.000;0.002;0.758;3.297;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
SIM_2;Y;Bomen solar farm 2021 10 0.1 Perez model.csv;10;0.1;24_10_08_Match_measured_inv_2_2;Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).;143617;-54.88;554180;180320;131998;358470;78.07;1628;546.0;1082;13.43;3.710;0.000;1467;311.2;270.1;22.36;26.61;2098;-0.509;2098;1467;270.2;334.0;26.61;0.6994;0.1717;0.0000;0.0233;2057;41.34;0.000;0.000;17.34;24.00;2028;23.45;10.01;1.947;11.22;0.271;2051;5.378;3.865;0.701;0.804;0.007;2034;1453;267.5;304.6;2.334;783.2;213.6;637.1;237.2;19.27;8.981;129.2;6.215;118.9;0.000;0.4550;0.0000;0.000;1.289;0.9803;1.000;1.000;0.9443;0.5100;0.9886;0.9932;1.000;0.9617;0.9891;0.9974;0.9974;1.000;0.9974;0.9974;0.9666;0.9057;0.5031;4.795;4.881;0.029;0.023;0.246;;0.032;0.114;0.018;0.165;0.074;0.000;0.000;0.000;0.000;0.000;0.002;0.758;3.301;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
SIM_3;Y;Bomen solar farm 2021 10 0.2 Perez model.csv;10;0.2;24_10_08_Match_measured_inv_2_3;Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).;143617;-54.88;554180;180320;131998;358470;78.07;1628;546.0;1082;13.43;3.710;0.000;1467;311.2;270.1;22.36;26.61;2098;-0.509;2098;1467;270.2;334.0;26.61;0.6994;0.1717;0.0000;0.0233;2057;41.34;0.000;0.000;17.34;24.00;2028;23.45;10.01;1.947;11.22;0.271;2051;5.378;3.865;0.701;0.804;0.007;2034;1453;267.5;304.6;2.334;783.2;213.6;637.1;237.2;19.27;8.981;129.2;6.215;118.9;0.000;0.4550;0.0000;0.000;1.289;0.9803;1.000;1.000;0.9443;0.5100;0.9886;0.9932;1.000;0.9617;0.9891;0.9974;0.9974;1.000;0.9974;0.9974;0.9666;0.9057;0.5031;4.795;4.881;0.029;0.023;0.242;;0.032;0.114;0.018;0.165;0.074;0.000;0.000;0.000;0.000;0.000;0.002;0.758;3.305;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
SIM_4;Y;Bomen solar farm 2021 10 0.3 Perez model.csv;10;0.3;24_10_08_Match_measured_inv_2_4;Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).;143617;-54.88;554180;180320;131998;358470;78.07;1628;546.0;1082;13.43;3.710;0.000;1467;311.2;270.1;22.36;26.61;2098;-0.509;2098;1467;270.2;334.0;26.61;0.6994;0.1717;0.0000;0.0233;2057;41.34;0.000;0.000;17.34;24.00;2028;23.45;10.01;1.947;11.22;0.271;2051;5.378;3.865;0.701;0.804;0.007;2034;1453;267.5;304.6;2.334;783.2;213.6;637.1;237.2;19.27;8.981;129.2;6.215;118.9;0.000;0.4550;0.0000;0.000;1.289;0.9803;1.000;1.000;0.9443;0.5100;0.9886;0.9932;1.000;0.9617;0.9891;0.9974;0.9974;1.000;0.9974;0.9974;0.9666;0.9057;0.5031;4.795;4.881;0.029;0.023;0.238;;0.032;0.114;0.018;0.165;0.074;0.000;0.000;0.000;0.000;0.000;0.002;0.758;3.308;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
SIM_5;Y;Bomen solar farm 2021 10 0.4 Perez model.csv;10;0.4;24_10_08_Match_measured_inv_2_5;Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).;143617;-54.88;554180;180320;131998;358470;78.07;1628;546.0;1082;13.43;3.710;0.000;1467;311.2;270.1;22.36;26.61;2098;-0.509;2098;1467;270.2;334.0;26.61;0.6994;0.1717;0.0000;0.0233;2057;41.34;0.000;0.000;17.34;24.00;2028;23.45;10.01;1.947;11.22;0.271;2051;5.378;3.865;0.701;0.804;0.007;2034;1453;267.5;304.6;2.334;783.2;213.6;637.1;237.2;19.27;8.981;129.2;6.215;118.9;0.000;0.4550;0.0000;0.000;1.289;0.9803;1.000;1.000;0.9443;0.5100;0.9886;0.9932;1.000;0.9617;0.9891;0.9974;0.9974;1.000;0.9974;0.9974;0.9666;0.9057;0.5031;4.795;4.881;0.029;0.023;0.234;;0.032;0.114;0.018;0.165;0.075;0.000;0.000;0.000;0.000;0.000;0.002;0.758;3.311;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
SIM_6;Y;Bomen solar farm 2021 10 0.5 Perez model.csv;10;0.5;24_10_08_Match_measured_inv_2_6;Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).;143617;-54.88;554180;180320;131998;358470;78.07;1628;546.0;1082;13.43;3.710;0.000;1467;311.2;270.1;22.36;26.61;2098;-0.509;2098;1467;270.2;334.0;26.61;0.6994;0.1717;0.0000;0.0233;2057;41.34;0.000;0.000;17.34;24.00;2028;23.45;10.01;1.947;11.22;0.271;2051;5.378;3.865;0.701;0.804;0.007;2034;1453;267.5;304.6;2.334;783.2;213.6;637.1;237.2;19.27;8.981;129.2;6.215;118.9;0.000;0.4550;0.0000;0.000;1.289;0.9803;1.000;1.000;0.9443;0.5100;0.9886;0.9932;1.000;0.9617;0.9891;0.9974;0.9974;1.000;0.9974;0.9974;0.9666;0.9057;0.5031;4.795;4.881;0.029;0.023;0.230;;0.032;0.114;0.018;0.165;0.075;0.000;0.000;0.000;0.000;0.000;0.002;0.758;3.315;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
SIM_7;Y;Bomen solar farm 2021 10 0.6 Perez model.csv;10;0.6;24_10_08_Match_measured_inv_2_7;Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).;143617;-54.88;554180;180320;131998;358470;78.07;1628;546.0;1082;13.43;3.710;0.000;1467;311.2;270.1;22.36;26.61;2098;-0.509;2098;1467;270.2;334.0;26.61;0.6994;0.1717;0.0000;0.0233;2057;41.34;0.000;0.000;17.34;24.00;2028;23.45;10.01;1.947;11.22;0.271;2051;5.378;3.865;0.701;0.804;0.007;2034;1453;267.5;304.6;2.334;783.2;213.6;637.1;237.2;19.27;8.981;129.2;6.215;118.9;0.000;0.4550;0.0000;0.000;1.289;0.9803;1.000;1.000;0.9443;0.5100;0.9886;0.9932;1.000;0.9617;0.9891;0.9974;0.9974;1.000;0.9974;0.9974;0.9666;0.9057;0.5031;4.795;4.881;0.029;0.023;0.226;;0.032;0.114;0.018;0.165;0.075;0.000;0.000;0.000;0.000;0.000;0.002;0.758;3.319;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
