PVSYST 8.0.15
;File;File date;Description
Project;25_08_25_Bowen Solar Farm 2021 - per inverter.PRJ;25/09/25 23h03;25_08_25_Bomen PVSyst - 2021 - per inverter;
Geographical Site;Wagga Wagga;25/09/25 23h03;Wagga Wagga;Australia;Australia;;
Weather data;Bomen Solar Farm 2021 with wind speed.MET;05/09/25 16h07;Bomen Solar Farm 2021 wind;Custom file;Imported;
Simulation variant;25_08_25_Bowen Solar Farm 2021 - per inverter.VCU;25/09/25 20h53;24_10_08_Match_measured_inv_3_2Uc20Perez;
Simulation date;;25/09/25 23h16

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;IL_Nigh;Aux_Lss;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;0;0;0;19.55;7.6599;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.55;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7452;0;0.7452;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;0;0;0;19.25;7.3299;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.25;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7452;0;0.7452;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;0;0;0;18.96;7.1501;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.96;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7452;0;0.7452;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;0;0;0;18.92;6.6999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.92;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7452;0;0.7452;1;1;0;0;0;0
01/01/21 04:00;0.7871;-117.86;88.091;0.8903;1.2693;-90;-1.2693;0;0;0;18.9;6.2901;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.9;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7452;0;0.7452;1;1;0;0;0;0
01/01/21 05:00;7.0605;-113.17;72.656;7.6727;11.221;-90;-11.221;13.909;13.803;0.1056;19;7.35;0;0.2562;14.421;-1.837;-0.2326;0.0271;12.635;0;12.635;0.2562;-1.837;14.189;0.0271;0.0203;1.1251;0;-0.0163;12.489;0.1465;0;0;0.124;0.0225;12.114;0.3373;0.0367;-0.263;0.5626;0.001;12.451;0.0375;0.0008;-0.0055;0.0422;0;12.119;0.2188;-1.5685;13.46;0.0036;8.6688;6.9003;2.7036;-0.0043;0.1041;1.498;0.0053;1.6065;0;1;0;0;0.9084;0.9884;1;1;0.9914;1;0.9729;0.8564;1;0.9605;1;0.997;0.997;1;0.997;1;0.9587;0.9494;1;0.036;0.0377;0.0002;0.0068;-0.0007;0.0002;0.0008;0.0002;0;0;0.088;-0.0611;0;0;0;0;0;0;0;0;0;0;0;0;0.0006;0;0.0295;0.0295;0;19.46;19.46;0.4595;0.0379;30.49;968.24;1;0.0026;0.0026;0;0;0;0;0;0;0.0269;-0.0611;0;15.44;17.879;-31.944;-36.991;91.185;91.185;0.3032;0.249;-0.5151;0.0543;0.7641;0.179;2.5197;0;8.6719;0;0
01/01/21 06:00;18.633;-105.43;39.204;19.279;33.924;-90;-33.924;44.597;44.202;0.3951;19.16;7.86;0;0.9583;41.642;-3.186;-1.9884;0.7743;38.2;0;38.2;0.9583;-3.186;39.654;0.7743;0.0251;1.0583;0;-0.0318;35.381;2.819;0;0;2.1307;0.6882;34.067;1.2081;0.0061;-0.0204;1.2097;0.0126;35.275;0.1061;0.0029;-0.0096;0.1126;0.0003;34.329;0.9493;-3.156;36.201;0.0732;28.233;22.474;9.4297;0.4691;0.33;4.7469;0.2617;4.6077;0;1;0;0;0.8566;0.9262;1;1;0.9488;1;0.9658;0.9936;1;0.9693;1;0.997;0.997;1;0.997;1;0.8918;0.9169;1;0.1087;0.1077;0.0006;0.0115;-0.0018;0.0007;0.0024;0.0008;0;0;0.088;-0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0.0019;0.0001;0.0915;0.0915;0;20.431;20.431;1.2712;0.0373;90.393;1011.9;1;0.0042;0.0042;0;0;0;0;0;0;0.0872;-0.0008;0;15.822;18.321;-0.1347;-0.1559;95.361;95.361;0.9168;0.7713;-0.0066;0.1455;0.7779;0.1587;0.8485;0;28.238;0;0
01/01/21 07:00;30.638;-97.905;6.7961;30.879;59.121;-90;-59.121;244.4;216;28.395;20.06;7.36;0;55.327;135.28;72.504;-5.5325;12.135;269.71;0;269.71;55.327;72.504;129.74;12.135;0.2051;0.526;0;0.0245;242.5;27.211;0;0;15.911;11.3;237.7;4.0665;0.0129;0.017;3.9868;0.0497;241.77;0.7275;0.166;0.2175;0.3415;0.0025;241.97;55.148;72.27;109.5;0.7821;129.75;103.28;47.704;18.729;2.3098;33.225;4.2666;16.806;0;1;0;0;1.1036;0.8991;1;1;0.8824;-0.7116;0.9832;0.9998;1;0.9665;1;0.997;0.997;1;0.997;1;0.8813;0.8503;-0.717;0.7676;0.7588;0.0046;0.0152;0.0103;0.0051;0.0181;0.0061;0;0;0.088;0.5836;0;0;0;0;0;0;0;0;0;0;0;0;0.0145;0.0016;0.6833;0.6833;0;28.811;28.811;8.7506;0.0368;648;1054.5;1;0.0117;0.0117;0;0;0;0;0;0;0.6716;0.5836;0;16.741;19.386;14.299;16.558;98.295;98.295;6.473;5.7623;4.9219;0.7107;0.8404;0.1098;0.1298;0.7604;116.59;0.6962;0
