PVSYST 8.0.15
;File;File date;Description
Project;25_08_25_Bowen Solar Farm 2021 - per inverter.PRJ;14/10/25 19h13;25_08_25_Bomen PVSyst - 2021 - per inverter;
Geographical Site;Wagga Wagga;14/10/25 19h13;Wagga Wagga;Australia;Australia;;
Weather data;Bomen Solar Farm 2021 with wind speed.MET;05/09/25 17h07;Bomen Solar Farm 2021 wind;Custom file;Imported;
Simulation variant;25_08_25_Bowen Solar Farm 2021 - per inverter.VCX;05/10/25 14h05;25_10_08_Match_measured_inv_5_1Uc26Hay;
Simulation date;;14/10/25 19h32

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;IL_Nigh;Aux_Lss;EACOhmL;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;0;0;0;19.55;7.6599;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.55;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;0;0;0;19.25;7.3299;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.25;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;0;0;0;18.96;7.1501;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.96;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;0;0;0;18.92;6.6999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.92;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 04:00;0.7871;-117.86;88.1;0.8903;1.2588;-90;-1.2588;0;0;0;18.9;6.2901;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.9;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 05:00;7.0605;-113.17;72.743;7.6727;11.126;-90;-11.126;13.909;13.803;0.1056;19;7.35;0;0.255;13.665;0.0203;0;0.0267;13.967;0;13.967;0.255;0.0203;13.665;0.0267;0.0183;0.9803;0;0.0019;13.827;0.14;0;0;0.1179;0.0222;13.202;0.5834;0.0368;0.0029;0.5426;0.001;13.785;0.0415;0.0008;0.0001;0.0406;0;13.207;0.2174;0.0173;12.964;0.0035;8.2157;6.5397;2.5624;0.006;0.0993;1.4287;0.0049;1.5221;0;1;0;0;1.0042;0.99;1;1;0.9914;0.1691;0.9577;0.8551;1;0.9598;0.7762;0.997;0.997;1;0.997;0.997;0.9452;0.9487;0.1309;0.0306;0.0313;0.0002;0.0054;-0.0006;0.0002;0.0007;0.0002;0;0;0.088;0;-0.0658;0;0;0;0;0;0;0;0;0;0;0;0;0.0005;0;0.0247;0.0247;0;19.385;19.385;0.3845;0.0291;25.408;972.63;1;0.0025;0.0025;0;0;0;0;0;0;0.0222;-0.0658;0;15.205;17.607;-40.481;-46.876;89.866;89.866;0.3352;0.271;-0.7216;0.0642;0.9926;0.1915;2.9611;0;8.2151;0;0
01/01/21 06:00;18.633;-105.43;39.544;19.279;33.554;-90;-33.554;44.597;44.202;0.3951;19.16;7.86;0;0.9537;40.484;0.0934;0;0.758;42.289;0;42.289;0.9537;0.0934;40.484;0.758;0.0226;0.9752;0;0.0179;39.477;2.8126;0;0;2.1376;0.675;38.103;1.2555;0.0063;0.0006;1.2361;0.0125;39.358;0.1184;0.0029;0.0003;0.115;0.0002;38.35;0.9445;0.0925;36.995;0.0703;27.38;21.794;9.1311;0.9023;0.3499;5.0333;0.2473;4.4809;0;1;0;0;0.9482;0.9335;1;1;0.9472;0.1095;0.9681;0.9934;1;0.9677;0.849;0.997;0.997;1;0.997;0.997;0.901;0.9138;0.0927;0.0925;0.0921;0.0006;0.0093;-0.0016;0.0006;0.0021;0.0007;0;0;0.088;0;-0.0131;0;0;0;0;0;0;0;0;0;0;0;0;0.0017;0.0001;0.0788;0.0788;0;20.252;20.252;1.0919;0.0287;77.47;1017.5;1;0.004;0.004;0;0;0;0;0;0;0.0749;-0.0131;0;16.018;18.548;-2.6692;-3.0908;94.979;94.979;1.0149;0.8645;-0.1441;0.1505;1.0085;0.1483;0.9937;0;27.378;0;0
01/01/21 07:00;30.638;-97.905;6.7961;30.879;59.121;-90;-59.121;244.4;216;28.395;20.06;7.36;0;55.327;156.98;16.607;0;12.135;241.05;0;241.05;55.327;16.607;156.98;12.135;0.2295;0.7016;0;0.0503;210.45;30.601;0;0;19.253;11.347;204.93;4.8842;0.0129;0.0039;4.8199;0.0474;209.82;0.6313;0.166;0.0498;0.4132;0.0024;209.61;55.148;16.553;132.5;0.7374;142.7;113.59;52.839;24.899;2.7953;40.21;4.6734;18.106;0;1;0;0;0.9863;0.8731;1;1;0.8774;0.0649;0.9767;0.9998;1;0.9649;0.9396;0.997;0.997;1;0.997;0.997;0.8502;0.844;0.0608;0.5275;0.5231;0.0032;0.0123;0.0016;0.0035;0.0126;0.0057;0;0;0.088;0;0.376;0;0;0;0;0;0;0;0;0;0;0;0;0.0101;0.001;0.473;0.473;0;25.856;25.856;5.7958;0.0283;445.87;1060.9;1;0.0091;0.0091;0;0;0;0;0;0;0.464;0.376;0;16.864;19.528;13.403;15.521;98.081;98.081;5.7852;5.188;4.1233;0.5972;1.0647;0.1032;0.184;0.7127;135.3;0.6336;0
