PVSYST 8.0.15
;File;File date;Description
Project;25_08_25_Bowen Solar Farm 2021 - per inverter.PRJ;28/09/25 17h48;25_08_25_Bomen PVSyst - 2021 - per inverter;
Geographical Site;Wagga Wagga;28/09/25 17h48;Wagga Wagga;Australia;Australia;;
Weather data;Bomen Solar Farm 2021 with wind speed.MET;05/09/25 16h07;Bomen Solar Farm 2021 wind;Custom file;Imported;
Simulation variant;25_08_25_Bowen Solar Farm 2021 - per inverter.VCX;28/09/25 18h48;25_10_08_Match_measured_inv_5_1Uc19Perez;
Simulation date;;28/09/25 19h11

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;IL_Nigh;Aux_Lss;EACOhmL;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;0;0;0;19.55;7.6599;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.55;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;0;0;0;19.25;7.3299;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.25;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;0;0;0;18.96;7.1501;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.96;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;0;0;0;18.92;6.6999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.92;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 04:00;0.7871;-117.86;88.1;0.8903;1.2588;-90;-1.2588;0;0;0;18.9;6.2901;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.9;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9692;0;0.9692;1;1;0;0;0;0
01/01/21 05:00;7.0605;-113.17;72.743;7.6727;11.126;-90;-11.126;13.909;13.803;0.1056;19;7.35;0;0.255;14.424;-1.8281;-0.2306;0.0267;12.646;0;12.646;0.255;-1.8281;14.193;0.0267;0.0202;1.1244;0;-0.0161;12.502;0.1446;0;0;0.1224;0.0222;12.127;0.3373;0.0368;-0.2642;0.5636;0.001;12.464;0.0375;0.0008;-0.0055;0.0422;0;12.132;0.2174;-1.5585;13.465;0.0035;8.668;6.8997;2.7028;-0.0043;0.1041;1.4981;0.0052;1.6066;0;1;0;0;0.9093;0.9886;1;1;0.9915;1;0.9729;0.8551;1;0.9605;1;0.997;0.997;1;0.997;1;0.9589;0.9495;1;0.0277;0.029;0.0002;0.0052;-0.0006;0.0002;0.0006;0.0002;0;0;0.088;0;-0.0677;0;0;0;0;0;0;0;0;0;0;0;0;0.0005;0;0.0227;0.0227;0;19.484;19.484;0.4842;0.0399;23.469;968.13;1;0.0025;0.0025;0;0;0;0;0;0;0.0203;-0.0677;0;15.44;17.879;-46.026;-53.296;89.202;89.202;0.3035;0.2492;-0.7428;0.0543;0.992;0.179;3.2684;0;8.6712;0;0
01/01/21 06:00;18.633;-105.43;39.544;19.279;33.554;-90;-33.554;44.597;44.202;0.3951;19.16;7.86;0;0.9537;41.724;-3.1705;-1.9693;0.758;38.296;0;38.296;0.9537;-3.1705;39.754;0.758;0.0249;1.0579;0;-0.0316;35.522;2.7741;0;0;2.0991;0.675;34.203;1.2117;0.0063;-0.0209;1.2138;0.0125;35.415;0.1066;0.0029;-0.0095;0.113;0.0002;34.458;0.9445;-3.1401;36.329;0.0703;28.211;22.456;9.4074;0.4471;0.3292;4.736;0.2549;4.6181;0;1;0;0;0.8587;0.9276;1;1;0.9497;1;0.9658;0.9934;1;0.9693;1;0.997;0.997;1;0.997;1;0.8931;0.9178;1;0.0838;0.0831;0.0005;0.0088;-0.0014;0.0005;0.0019;0.0006;0;0;0.088;0;-0.0212;0;0;0;0;0;0;0;0;0;0;0;0;0.0015;0.0001;0.0705;0.0705;0;20.503;20.503;1.3434;0.0393;69.735;1011.7;1;0.0037;0.0037;0;0;0;0;0;0;0.0668;-0.0212;0;15.831;18.332;-4.7506;-5.5011;94.73;94.73;0.9191;0.7737;-0.2322;0.1454;1.0059;0.1582;1.0944;0;28.216;0;0
01/01/21 07:00;30.638;-97.905;6.7961;30.879;59.121;-90;-59.121;244.4;216;28.395;20.06;7.36;0;55.327;135.28;72.504;-5.5325;12.135;269.71;0;269.71;55.327;72.504;129.74;12.135;0.2051;0.526;0;0.0245;242.45;27.26;0;0;15.913;11.347;237.66;4.0609;0.0129;0.017;3.9836;0.0474;241.72;0.7273;0.166;0.2175;0.3415;0.0024;241.93;55.148;72.27;109.51;0.7374;129.75;103.28;47.699;18.729;2.3097;33.224;4.2677;16.805;0;1;0;0;1.1036;0.8989;1;1;0.8824;-0.7188;0.9832;0.9998;1;0.9665;1;0.997;0.997;1;0.997;1;0.8812;0.8503;-0.7238;0.5902;0.5834;0.0035;0.0117;0.0089;0.0039;0.0139;0.0047;0;0;0.088;0;0.4268;0;0;0;0;0;0;0;0;0;0;0;0;0.0112;0.0013;0.5244;0.5244;0;29.273;29.273;9.2131;0.0388;498.2;1052.5;1;0.0095;0.0095;0;0;0;0;0;0;0.5148;0.4268;0;16.707;19.347;13.6;15.748;98.181;98.181;6.473;5.7507;4.681;0.7223;1.0697;0.1116;0.1653;0.7232;116.59;0.6621;0
