Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,1,0,1,Night,,120.8727035522461,-30.872699737548828,167.60586547851562,0,0,0,0,19.43425941467285,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,19.42998695373535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,116.68930053710938,-26.689298629760742,152.59901428222656,0,0,0,0,19.095361709594727,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,19.100000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,109.84191131591797,-19.841915130615234,139.5591583251953,0,0,0,0,18.90728187561035,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,18.909997940063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,101.04715728759766,-11.04715633392334,128.54702758789062,0,0,0,0,18.909631729125977,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,18.909997940063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Night,,90.19395446777344,-0.19395332038402557,119.1825942993164,4.828055381774902,4.197299957275391,0,0.8693562150001526,18.890222549438477,1,=NA(),0,40.954559326171875,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),5.5751190185546875,1013.25,0,0,0,0,0,18.8900089263916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,Day,,79.59519958496094,10.404800415039062,110.95861053466797,29.011943817138672,28.80299949645996,1.1569353342056274,0.9927979707717896,18.9805850982666,1,=NA(),=NA(),5.384702205657959,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),15.97869873046875,1013.25,13.478324890136719,67.06383514404297,31.55500030517578,28.565000534057617,2.990000009536743,20.336267471313477,67.46730041503906,68.24700164794922,68.09800720214844,36.44744873046875,0.23354625701904297,0.23021359741687775,42.235435485839844,0.298377126455307,0.000981000019237399,0,0.00007424999785143882,0,-0.7797012329101562,0.14899444580078125
1,7,0,1,Day,,67.92687225341797,22.073129653930664,103.35231018066406,118.47777557373047,115.19999694824219,8.722375869750977,0.9723342061042786,19.4737491607666,1,=NA(),=NA(),2.6465964317321777,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),19.39617919921875,1013.25,33.48562240600586,35.81745147705078,130.0050048828125,114.49000549316406,15.514999389648438,24.85625648498535,349.2171936035156,348.293212890625,347.35064697265625,38.62385177612305,1.1241227388381958,1.0739085674285889,44.34471130371094,1.2020128965377808,0.0037857498973608017,0,0.000457874994026497,0,0.923980712890625,0.94256591796875
1,8,0,1,Day,,55.856895446777344,34.143104553222656,95.78366088867188,336.06390380859375,295.1000061035156,72.98536682128906,0.8781068325042725,20.7375431060791,1,=NA(),=NA(),1.7783446311950684,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.622468948364258,1013.25,55.72093963623047,4.784213542938232,412.2250061035156,357.7250061035156,54.5,37.57750701904297,1217.521484375,1156.8704833984375,1154.990966796875,38.09642028808594,3.7899677753448486,3.6492042541503906,44.564762115478516,3.981112480163574,0.012790124863386154,0,0.0012534999987110496,0,60.6510009765625,1.8795166015625
1,9,0,1,Day,,43.615318298339844,46.384681701660156,87.4140396118164,672.5213623046875,281.70001220703125,539.8178100585938,0.4188714623451233,22.840173721313477,1,=NA(),=NA(),1.3801021575927734,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.289382934570312,1013.25,43.58616256713867,1.783512830734253,895.2750244140625,846.8499755859375,48.43000030517578,59.59624481201172,2758.904052734375,2402.36181640625,2400.490234375,35.08865737915039,8.551528930664062,8.51076889038086,42.75126266479492,9.024003982543945,0.03030412457883358,0,0.0012138750171288848,0,356.542236328125,1.87158203125
1,10,0,1,Day,,31.483121871948242,58.51688003540039,76.51653289794922,721.0869140625,359.3999938964844,424.1199035644531,0.4984142482280731,24.503808975219727,1,=NA(),=NA(),1.1721471548080444,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.04120445251465,1013.25,30.77448844909668,6.9942474365234375,850.2349853515625,796.699951171875,53.529998779296875,59.37499237060547,2617.404541015625,2280.829345703125,2279.45751953125,35.11296844482422,8.114733695983887,8.086030960083008,42.6811637878418,8.568187713623047,0.028532125055789948,0,0.0013630000175908208,0,336.5751953125,1.371826171875
1,11,0,1,Day,,20.13680076599121,69.86319732666016,58.01333236694336,999.2080688476562,289.6000061035156,755.8080444335938,0.2898295223712921,25.92449378967285,1,=NA(),=NA(),1.0648890733718872,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.15799331665039,1013.25,17.275930404663086,10.507460594177246,1114.590087890625,1040.639892578125,73.95999908447266,72.26000213623047,3421.82568359375,2818.862548828125,2816.164794921875,33.123069763183594,10.627666473388672,10.604650497436523,41.25669479370117,11.259392738342285,0.03730250149965286,0,0.001887249993160367,0,602.963134765625,2.69775390625
1,12,0,1,Day,,12.487045288085938,77.51295471191406,15.074821472167969,481.23834228515625,405.1000061035156,77.9830322265625,0.8417866230010986,26.127283096313477,1,=NA(),=NA(),1.0241014957427979,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.200721740722656,1013.25,3.2964062690734863,12.05075740814209,523.7349853515625,481.1600036621094,42.57499694824219,47.599998474121094,1557.459228515625,1422.7547607421875,1421.7178955078125,36.70989990234375,4.84105920791626,4.836925029754639,43.487003326416016,5.099246978759766,0.01680087484419346,0,0.0010706250322982669,0,134.7044677734375,1.036865234375
1,13,0,1,Day,,15.709444999694824,74.29055786132812,317.37188720703125,519.80029296875,377.20001220703125,148.1334991455078,0.7256633043289185,26.33074378967285,1,=NA(),=NA(),1.0386422872543335,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20.79535484313965,1013.25,-10.784684181213379,11.491064071655273,566.3299560546875,521.844970703125,44.48500061035156,49.48625946044922,1707.456298828125,1548.17333984375,1547.4715576171875,36.470420837402344,5.303859233856201,5.294233798980713,43.37052536010742,5.588913440704346,0.01843537576496601,0,0.0011264999629929662,0,159.282958984375,0.7017822265625
