Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,0,0,1,Night,,121.85777282714844,-31.857772827148438,183.6459197998047,0,0,0,0,19.550012588500977,7.659900188446045,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.550012588500977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,Night,,120.91158294677734,-30.91158676147461,167.51644897460938,0,0,0,0,19.2499942779541,7.329899787902832,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.2499942779541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,116.70764923095703,-26.7076473236084,152.51287841796875,0,0,0,0,18.959985733032227,7.150100231170654,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.959985733032227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,109.84133911132812,-19.841341018676758,139.4839324951172,0,0,0,0,18.920007705688477,6.699900150299072,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.920007705688477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,101.0306625366211,-11.030662536621094,128.48606872558594,0,0,0,0,18.899988174438477,6.29010009765625,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.899988174438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Night,,90.16942596435547,-0.1694253534078598,119.13648986816406,13.909000396728516,13.803000450134277,0,0.9923790097236633,18.9999942779541,7.349999904632568,=NA(),0,40.55686569213867,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.9999942779541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,Day,,79.55494689941406,10.445050239562988,110.92695617675781,44.59700012207031,44.20199966430664,0.3950999975204468,0.9911428689956665,19.159997940063477,7.860000133514404,=NA(),=NA(),5.365339756011963,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,16.919065475463867,63.84729766845703,48.22999954223633,43.3849983215332,4.849999904632568,21.058130264282227,249.497802734375,252.49510192871094,252.53485107421875,37.701576232910156,0.41863900423049927,0.41177088022232056,43.135921478271484,0.44962775707244873,0.0014749375404790044,0,0.00010956249752780423,0,-2.9972991943359375,-0.0397491455078125
1,7,0,1,Day,,67.8770980834961,22.12290382385254,103.33454895019531,244.39999389648438,216,28.395000457763672,0.8837970495223999,20.05999183654785,7.360000133514404,=NA(),=NA(),2.641014575958252,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,46.91737747192383,23.710195541381836,289.385009765625,253.92001342773438,35.46500015258789,31.336877822875977,1624.60302734375,1585.155029296875,1586.519287109375,38.80022430419922,2.555572271347046,2.46183443069458,44.90830612182617,2.7005739212036133,0.008720437996089458,0,0.0007764375186525285,0,39.447998046875,-1.3642578125
1,8,0,1,Day,,55.79859161376953,34.20140838623047,95.77944946289062,395.69000244140625,311.29998779296875,84.3949966430664,0.7867269515991211,21.05999183654785,6.639999866485596,=NA(),=NA(),1.775695562362671,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,55.662723541259766,4.7774224281311035,451.0899963378906,394.20001220703125,56.88999938964844,38.58312225341797,2630.89990234375,2506.431640625,2509.163818359375,38.27375030517578,4.097549915313721,3.9563710689544678,44.80419158935547,4.329233646392822,0.013929375447332859,0,0.0012529374798759818,0,124.46826171875,-2.732177734375
1,9,0,1,Day,,43.548912048339844,46.451087951660156,87.42261505126953,799.5900268554688,179.5,620.0900268554688,0.22449004650115967,24.2600040435791,6.010000228881836,=NA(),=NA(),1.3785853385925293,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,43.519954681396484,1.7754387855529785,867.625,832.1950073242188,35.43499755859375,57.943138122558594,5305.2841796875,4734.712890625,4743.537109375,35.971038818359375,8.241934776306152,8.221113204956055,43.60514831542969,8.716962814331055,0.02953731268644333,0,0.0008133124792948365,0,570.5712890625,-8.82421875
