Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,0,0,1,Night,,121.03781127929688,-31.037809371948242,191.6747589111328,0,0,0,0,19.550012588500977,7.659900188446045,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.550012588500977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,Night,,121.8150863647461,-31.81509017944336,175.52590942382812,0,0,0,0,19.2499942779541,7.329899787902832,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.2499942779541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,119.18632507324219,-29.186323165893555,159.8000946044922,0,0,0,0,18.959985733032227,7.150100231170654,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.959985733032227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,113.56180572509766,-23.56180191040039,145.7327880859375,0,0,0,0,18.920007705688477,6.699900150299072,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.920007705688477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,105.6366958618164,-15.636693954467773,133.74945068359375,0,0,0,0,18.899988174438477,6.29010009765625,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.899988174438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Night,,96.0483627319336,-6.048366546630859,123.63626098632812,13.909000396728516,13.803000450134277,0,0.9923790097236633,18.9999942779541,7.349999904632568,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.9999942779541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,Day,,85.02510070800781,4.974900722503662,114.8443832397461,44.59700012207031,44.20199966430664,0.3950999975204468,0.9911428689956665,19.159997940063477,7.860000133514404,=NA(),=NA(),10.350968360900879,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,7.944395065307617,77.82868194580078,54.10499954223633,50.04499816894531,4.059999942779541,21.3174991607666,260.7555847167969,263.6194152832031,263.97821044921875,37.674705505371094,0.43792304396629333,0.4350731670856476,43.17308044433594,0.46914252638816833,0.0015595000004395843,0,0.0000927500004763715,0,-2.86383056640625,-0.358795166015625
1,7,0,1,Day,,73.78298950195312,16.217010498046875,107.0871353149414,244.39999389648438,216,28.395000457763672,0.8837970495223999,20.05999183654785,7.360000133514404,=NA(),=NA(),3.541682481765747,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,28.12727928161621,47.2354736328125,316.7749938964844,295.2699890136719,21.505001068115234,32.289390563964844,1828.9464111328125,1779.115966796875,1782.776611328125,38.7333984375,2.8766865730285645,2.8218016624450684,44.99051284790039,3.035961866378784,0.010160000063478947,0,0.0004925000248476863,0,49.8304443359375,-3.66064453125
1,8,0,1,Day,,61.87298583984375,28.12701416015625,99.5947036743164,395.69000244140625,311.29998779296875,84.3949966430664,0.7867269515991211,21.05999183654785,6.639999866485596,=NA(),=NA(),2.1147356033325195,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,60,8.590194702148438,487.3699951171875,427.85498046875,59.51000213623047,40.001243591308594,2843.4228515625,2696.368896484375,2699.86572265625,38.13296890258789,4.425273418426514,4.278581619262695,44.758853912353516,4.6743574142456055,0.015116187743842602,0,0.0012664374662563205,0,147.053955078125,-3.496826171875
1,9,0,1,Day,,49.68097686767578,40.31902313232422,91.77523803710938,799.5900268554688,179.5,620.0900268554688,0.22449004650115967,24.2600040435791,6.010000228881836,=NA(),=NA(),1.5436121225357056,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,49.66740798950195,1.3534449338912964,870.4200439453125,837.0150146484375,33.404998779296875,57.95812225341797,5361.171875,4784.52978515625,4795.37548828125,35.95637893676758,8.335404396057129,8.313926696777344,43.62382888793945,8.82683277130127,0.02990056201815605,0,0.0007699999841861427,0,576.64208984375,-10.845703125
