Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,0,0,1,Night,,121.8150635,-31.81505966,175.5259094,0,0,0,0,19.55001259,7.659900188,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,19.55001259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,Night,,119.1862946,-29.18629265,159.8000946,0,0,0,0,19.24999428,7.329899788,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,19.24999428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,113.5618057,-23.56180191,145.7327881,0,0,0,0,18.95998573,7.150100231,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,18.95998573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,105.6366806,-15.63668442,133.7494507,0,0,0,0,18.92000771,6.69990015,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,18.92000771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,96.04838562,-6.048386097,123.636261,0,0,0,0,18.89998817,6.290100098,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,18.89998817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Day,,85.02500916,4.974987984,114.8443832,13.9090004,13.80300045,0.105599999,0.99237901,18.99999428,7.349999905,#N/A,#N/A,10.35081673,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,7.944540501,77.82846832,15.11999989,13.71999931,1.400000095,19.60500526,71.35620117,72.70050049,72.81416321,35.88412857,0.126821652,0.125624552,41.26115799,0.140851498,0.000464187,0,3.20625E-05,0,-1.344299316,-0.11366272
1,6,0,1,Day,,73.78282166,16.21718025,107.0871353,44.59700012,44.20199966,0.395099998,0.991142869,19.15999794,7.860000134,#N/A,#N/A,3.541647196,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,28.12768745,47.23493576,46.34000015,40.54499817,5.800000191,20.9918766,236.8247986,239.7395935,239.5942841,37.66715622,0.397515625,0.384282917,43.05720139,0.428099126,0.001377812,0,0.00013075,0,-2.914794922,0.145309448
1,7,0,1,Day,,61.87288284,28.12711716,99.59470367,244.3999939,216,28.39500046,0.88379705,20.05999184,7.360000134,#N/A,#N/A,2.114728451,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,60,8.590168953,263.480011,213.5650024,49.91500092,30.40062904,1460.472046,1429.333862,1425.464478,39.03549194,2.282257318,2.147307158,44.8461647,2.425896883,0.007508,0,0.001058563,0,31.13818359,3.869384766
1,8,0,1,Day,,49.68077469,40.31922531,91.77523804,395.6900024,311.2999878,84.39499664,0.786726952,21.05999184,6.639999866,#N/A,#N/A,1.543605566,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,49.66719818,1.353441,435.4949951,382.1549988,53.34000015,37.97499847,2525.242188,2410.557617,2413.913574,38.30411911,3.938816309,3.80862999,44.81025314,4.160357475,0.013418875,0,0.00116725,0,114.6845703,-3.355957031
1,9,0,1,Day,,37.43968201,52.56031799,82.47744751,799.5900269,179.5,620.0900269,0.224490047,24.26000404,6.010000229,#N/A,#N/A,1.258741975,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,37.20090103,4.564857006,862.1049805,823.7650146,38.33499908,57.7543869,5278.262695,4713.719238,4722.405273,35.99775696,8.199131012,8.185825348,43.61974335,8.673643112,0.02930475,0,0.000890875,0,564.543457,-8.686035156
1,10,0,1,Day,,25.54935646,64.45064545,68.85192871,590.9000244,432.2000122,158.7100067,0.731426656,24.8200016,5.610000134,#N/A,#N/A,1.108071089,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,24.02914619,8.95159626,640.6650391,589.2650146,51.40000153,49.72811127,3805.378174,3491.935791,3498.925537,36.96102524,5.916612625,5.853693962,44.02759171,6.253457069,0.020670313,0,0.001146563,0,313.4423828,-6.989746094
1,11,0,1,Day,,15.35360909,74.64639282,41.19320679,601.289978,464.3999939,136.8999939,0.772339463,26.10000038,5.509900093,#N/A,#N/A,1.036854863,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,10.25031662,11.4926157,650.4450073,598.8150024,51.62999725,51.43999481,3857.1875,3518.298584,3525.65332,36.73359299,5.998688698,5.975589275,43.83052063,6.344064236,0.02094925,0,0.001160563,0,338.888916,-7.354736328
1,12,0,1,Day,,12.56762314,77.43237305,342.5169678,507.8999939,448.2999878,59.59799957,0.882654071,26.08999062,5.550000191,#N/A,#N/A,1.024420857,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,-3.831620216,11.97824764,551.7600098,506.3950195,45.36999893,47.63311005,3226.928223,2981.211426,2986.131348,37.15880585,5.022585392,5.007632256,43.99105453,5.307628632,0.01752075,0,0.001028375,0,245.7167969,-4.919921875
1,13,0,1,Day,,20.51211739,69.48788452,300.8970032,804.9000244,338.2000122,466.7099915,0.420176417,26.52999306,5.640100002,#N/A,#N/A,1.067470908,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,-17.79840469,10.3657999,863.1500244,804.7249756,58.41999817,60.22124481,5216.464355,4616.862793,4625.208496,35.66740799,8.104752541,8.086765289,43.27831268,8.578375816,0.028524563,0,0.00131775,0,599.6015625,-8.345703125
1,14,0,1,Day,,31.93260002,58.06740189,282.9241333,922.8900146,156.6000061,766.289978,0.169684365,26.83999062,5.810100079,#N/A,#N/A,1.177829385,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,-31.27643967,6.793940067,981.1500244,932.6149902,48.52999878,65.13500214,6002.780273,5221.118164,5231.802246,35.01320267,9.338985443,9.320382118,42.9272728,9.904990196,0.033237562,0,0.001121625,0,781.6621094,-10.68408203
1,15,0,1,Day,,44.08934402,45.91065598,272.2108154,416.5,342.7999878,73.69599915,0.823049188,26.10000038,6.05009985,#N/A,#N/A,1.391081214,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,-44.0680275,1.538048267,454.9899902,402.2749939,52.70999908,43.85625458,2632.389404,2462.318359,2465.607666,37.52132797,4.107120991,3.976962328,44.10840988,4.341805935,0.01404825,0,0.001142937,0,170.0710449,-3.289306641
1,16,0,1,Day,,56.34011078,33.65988922,263.9164429,276.2000122,248.6000061,27.59600067,0.900072396,25.24999428,6.370100021,#N/A,#N/A,1.800677776,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,-56.19067001,5.060678482,291.5449829,238.8850098,52.65999985,36.71874237,1627.903076,1558.776611,1555.77356,38.21620941,2.544197559,2.402241468,44.18674469,2.70283103,0.008369813,0,0.001145937,0,69.12646484,3.003051758
1,17,0,1,Day,,68.41110229,21.58889771,256.3764954,290.2999878,152.8000031,137.5,0.526352108,24.77001381,6.450099945,#N/A,#N/A,2.70224762,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,-44.31134033,26.54798508,321.2200012,298.9400024,22.27500153,37.22750092,1841.888428,1761.316772,1765.301025,38.04003525,2.90041852,2.838930845,44.34184265,3.064899683,0.010214251,0,0.000511875,0,80.57165527,-3.98425293
1,18,0,1,Day,,80.07120514,9.928792953,248.7711639,31.09900093,30.6989994,0.400400013,0.987137794,22.20000648,6.360099792,#N/A,#N/A,5.624644756,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,-16.02568626,65.2156601,33.28499985,29.92499924,3.360000134,23.51998329,168.3563995,168.8246002,168.7204132,36.74055481,0.287008703,0.282734901,42.11639786,0.311279118,0.001019875,0,7.5625E-05,0,-0.468200684,0.104187012
1,19,0,1,Night,Sun above horizon but GHI below 1,87.91137695,2.088624239,242.9502716,0,0,0,0,20.4699955,6.409999847,#N/A,0,18.97605324,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,20.4699955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,0,1,Night,,101.4841156,-11.48411369,231.1163635,0,0,0,0,19.42998695,6.570000172,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,19.42998695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,0,1,Night,,110.2361145,-20.23611069,220.0354462,0,0,0,0,18.60000038,6.590000153,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,18.60000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,0,1,Night,,117.0148087,-27.01480484,206.9081879,0,0,0,0,18.24001503,6.559999943,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,18.24001503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,0,1,Night,,121.0997772,-31.09977531,191.8164825,0,0,0,0,17.89998817,6.389900208,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,17.89998817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,Night,,121.9055481,-31.90554619,175.6462402,0,0,0,0,17.11001015,6.040100098,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,17.11001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,Night,,119.2990341,-29.29903412,159.8887177,0,0,0,0,16.43999672,5.979899883,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,16.43999672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,Night,,113.688591,-23.6885891,145.7891693,0,0,0,0,16.05999184,5.760000229,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,16.05999184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,Night,,105.770668,-15.77066994,133.7793732,0,0,0,0,15.99999428,5.599999905,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,15.99999428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,1,Night,,96.19051361,-6.19051218,123.6464386,0,0,0,0,15.92998695,5.66989994,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,15.92998695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
