Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,0,0,1,Night,,90,-0.0000026562602215562947,0,0,0,0,0,19.550012588500977,7.659900188446045,=NA(),0,37.92900466918945,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.550012588500977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,Night,,90,-0.0000026562602215562947,0,0,0,0,0,19.2499942779541,7.329899787902832,=NA(),0,37.92900466918945,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.2499942779541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,90,-0.0000026562602215562947,0,0,0,0,0,18.959985733032227,7.150100231170654,=NA(),0,37.92900466918945,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.959985733032227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,90,-0.0000026562602215562947,0,0,0,0,0,18.920007705688477,6.699900150299072,=NA(),0,37.92900466918945,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.920007705688477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,Sun below height limit of 1 degrees.,89.21290588378906,0.7870973944664001,117.8599853515625,0,0,0,0,18.899988174438477,6.29010009765625,=NA(),0,28.29927635192871,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.899988174438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Day,,82.93950653076172,7.060496807098389,113.16998291015625,13.909000396728516,13.803000450134277,0.10559999942779541,0.9923790097236633,18.9999942779541,7.349999904632568,=NA(),=NA(),7.671252250671387,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,11.269157409667969,72.61197662353516,15.065000534057617,13.625,1.440000057220459,19.605005264282227,71.09609985351562,72.4364013671875,72.54248046875,35.876853942871094,0.12637361884117126,0.12525223195552826,41.255802154541016,0.14040300250053406,0.00046206251136027277,0,0.00003275000199209899,0,-1.340301513671875,-0.1060791015625
1,6,0,1,Day,,71.36699676513672,18.633005142211914,105.43000030517578,44.59700012207031,44.20199966430664,0.3950999975204468,0.9911428689956665,19.159997940063477,7.860000133514404,=NA(),=NA(),3.1047842502593994,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,34.11182403564453,39.0321044921875,45.50499725341797,38.970001220703125,6.529999732971191,20.96563148498535,231.34689331054688,234.22219848632812,233.6997528076172,37.70561599731445,0.3873213231563568,0.36969536542892456,43.02106475830078,0.4186015725135803,0.0013301250291988254,0,0.000145500001963228,0,-2.87530517578125,0.5224456787109375
1,7,0,1,Day,,59.36199951171875,30.637998580932617,97.90499114990234,244.39999389648438,216,28.395000457763672,0.8837970495223999,20.05999183654785,7.360000133514404,=NA(),=NA(),1.9574202299118042,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,59.12158203125,6.795858383178711,257.56500244140625,207.98500061035156,49.58000183105469,30.168115615844727,1428.841552734375,1399.45654296875,1395.2998046875,39.05360412597656,2.232760429382324,2.099379301071167,44.83939743041992,2.3750221729278564,0.007330874912440777,0,0.0010560625232756138,0,29.385009765625,4.15673828125
1,8,0,1,Day,,47.13300323486328,42.86699676513672,89.86300659179688,395.69000244140625,311.29998779296875,84.3949966430664,0.7867269515991211,21.05999183654785,6.639999866485596,=NA(),=NA(),1.4684300422668457,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,47.13291931152344,0.10040513426065445,431.7200012207031,380.06500244140625,51.654998779296875,37.83312225341797,2500.365966796875,2387.9306640625,2391.1181640625,38.31501770019531,3.9004967212677,3.772765636444092,44.81130599975586,4.120306015014648,0.01332399994134903,0,0.0011216874700039625,0,112.435302734375,-3.1875
1,9,0,1,Day,,34.92399978637695,55.07600021362305,79.9420166015625,799.5900268554688,179.5,620.0900268554688,0.22449004650115967,24.2600040435791,6.010000228881836,=NA(),=NA(),1.2190468311309814,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,34.50859451293945,5.738148212432861,859.8699951171875,819.75,40.11499786376953,57.68688201904297,5247.2978515625,4687.0869140625,4694.9912109375,36.011192321777344,8.1484956741333,8.130263328552246,43.61680221557617,8.619379043579102,0.02908531203866005,0,0.0009333750349469483,0,560.2109375,-7.904296875
