Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,0,0,1,Night,,90,-0.0000026562602215562947,0,0,0,0,0,19.550012588500977,7.659900188446045,=NA(),0,37.92900466918945,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.550012588500977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,Night,,90,-0.0000026562602215562947,0,0,0,0,0,19.2499942779541,7.329899787902832,=NA(),0,37.92900466918945,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.2499942779541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,90,-0.0000026562602215562947,0,0,0,0,0,18.959985733032227,7.150100231170654,=NA(),0,37.92900466918945,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.959985733032227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,90,-0.0000026562602215562947,0,0,0,0,0,18.920007705688477,6.699900150299072,=NA(),0,37.92900466918945,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.920007705688477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,Sun below height limit of 1 degrees.,89.21290588378906,0.7870973944664001,117.8599853515625,0,0,0,0,18.899988174438477,6.29010009765625,=NA(),0,28.29927635192871,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.899988174438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Day,,82.93950653076172,7.060496807098389,113.16998291015625,13.909000396728516,13.803000450134277,0.10559999942779541,0.9923790097236633,18.9999942779541,7.349999904632568,=NA(),=NA(),7.671252250671387,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,11.269157409667969,72.61197662353516,15.065000534057617,13.625,1.440000057220459,19.605005264282227,71.64759826660156,72.99800109863281,73.09691619873047,35.90177917480469,0.12725134193897247,0.1259000450372696,41.26869201660156,0.14138588309288025,0.00046624999959021807,0,0.00003199999991920777,0,-1.35040283203125,-0.09891510009765625
1,6,0,1,Day,,71.36699676513672,18.633005142211914,105.43000030517578,44.59700012207031,44.20199966430664,0.3950999975204468,0.9911428689956665,19.159997940063477,7.860000133514404,=NA(),=NA(),3.1047842502593994,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,34.11182403564453,39.0321044921875,45.50499725341797,38.970001220703125,6.529999732971191,20.96624183654785,231.94769287109375,234.82989501953125,234.30166625976562,37.71913146972656,0.38819196820259094,0.36970600485801697,43.02554702758789,0.4195391535758972,0.001339187496341765,0,0.0001401250046910718,0,-2.8822021484375,0.528228759765625
1,7,0,1,Day,,59.36199951171875,30.637998580932617,97.90499114990234,244.39999389648438,216,28.395000457763672,0.8837970495223999,20.05999183654785,7.360000133514404,=NA(),=NA(),1.9574202299118042,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,59.12158203125,6.795858383178711,257.56500244140625,207.98500061035156,49.58000183105469,30.1612491607666,1431.421875,1402.0201416015625,1398.2913818359375,39.033973693847656,2.2387211322784424,2.1097400188446045,44.84341812133789,2.3795156478881836,0.007371124811470509,0,0.0010304375318810344,0,29.4017333984375,3.728759765625
1,8,0,1,Day,,47.13300323486328,42.86699676513672,89.86300659179688,395.69000244140625,311.29998779296875,84.3949966430664,0.7867269515991211,21.05999183654785,6.639999866485596,=NA(),=NA(),1.4684300422668457,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,47.13291931152344,0.10040513426065445,431.7200012207031,380.06500244140625,51.654998779296875,37.828758239746094,2503.854736328125,2391.3095703125,2394.49169921875,38.319419860839844,3.9055514335632324,3.778655767440796,44.814422607421875,4.125149250030518,0.01337449997663498,0,0.0010907499818131328,0,112.545166015625,-3.18212890625
1,9,0,1,Day,,34.92399978637695,55.07600021362305,79.9420166015625,799.5900268554688,179.5,620.0900268554688,0.22449004650115967,24.2600040435791,6.010000228881836,=NA(),=NA(),1.2190468311309814,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,34.50859451293945,5.738148212432861,859.8699951171875,819.75,40.11499786376953,57.66875457763672,5249.57470703125,4689.41748046875,4697.54833984375,36.01150894165039,8.152863502502441,8.134906768798828,43.61971664428711,8.624655723571777,0.02910512499511242,0,0.0009265625267289579,0,560.1572265625,-8.130859375
