Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
244,0,0,1,Night,,153.00567626953125,-63.005680084228516,169.29052734375,0,0,0,0,7.200006008148193,3.73009991645813,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,7.200006008148193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1,0,1,Night,,147.7339630126953,-57.73396301269531,140.91868591308594,0,0,0,0,6.799798488616943,3.609999895095825,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,6.800012111663818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2,0,1,Night,,138.4369354248047,-48.43693923950195,121.47477722167969,0,0,0,0,7.100305080413818,3.410099983215332,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,7.099999904632568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,3,0,1,Night,,127.27490997314453,-37.27490997314453,108.0556869506836,0,0,0,0,6.200189113616943,3.199899911880493,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,6.200006008148193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,4,0,1,Night,,115.31478881835938,-25.314788818359375,97.75084686279297,0,0,0,0,5.669702053070068,3.130000114440918,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,5.670007228851318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,5,0,1,Night,,103.08769989013672,-13.087698936462402,88.86821746826172,0,0,0,0,5.070092678070068,3.2200000286102295,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,5.070001125335693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,6,0,1,Day,,87.40287780761719,2.59712553024292,78.13816833496094,22.19099998474121,22.096342086791992,2.0889999866485596,0.9957343935966492,4.320214748382568,4.060100078582764,=NA(),=NA(),16.657421112060547,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,3.809493064880371,83.67507934570312,24.53499984741211,22.610000610351562,1.9149999618530273,5.339990139007568,116.11000061035156,124.87000274658203,124.91291046142578,38.861305236816406,0.20089536905288696,0.20025242865085602,44.1843376159668,0.2185148298740387,0.0007302500307559967,0,0.00004525000258581713,0,-8.760002136230469,-0.04290771484375
244,7,0,1,Day,,78.79691314697266,11.203085899353027,71.46395111083984,194.2899932861328,163.69171142578125,157.49000549316406,0.842512309551239,7.479913234710693,4.340000152587891,=NA(),=NA(),5.024880409240723,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,18.012285232543945,61.8125114440918,320.17999267578125,308.52001953125,11.664999961853027,20.420007705688477,1817.6500244140625,1841.56005859375,1844.1781005859375,40.37822723388672,2.854538679122925,2.8359179496765137,46.56365203857422,3.0032129287719727,0.010312062688171864,0,0.00027749998844228685,0,-23.9100341796875,-2.6180419921875
244,8,0,1,Day,,67.5763168334961,22.42367935180664,61.342491149902344,394.30999755859375,269.6856689453125,326.7099914550781,0.6839432716369629,12.149988174438477,3.7599000930786133,=NA(),=NA(),2.6078195571899414,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,60,26.721193313598633,668.0250244140625,619.3150024414062,48.709999084472656,39.21874237060547,4017.300048828125,3827,3832.452880859375,38.395938873291016,6.238553047180176,6.124408721923828,45.49447250366211,6.575723171234131,0.022024374455213547,0,0.0009918749565258622,0,190.300048828125,-5.452880859375
244,9,0,1,Day,,57.48550033569336,32.51449966430664,49.0543098449707,561.7999877929688,310.4588928222656,467.6000061035156,0.5526146292686462,15.730005264282227,3.4700000286102295,=NA(),=NA(),1.8564531803131104,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,49.838890075683594,33.54707336425781,767.6600341796875,716.4450073242188,51.21500015258789,46.985618591308594,4619.60986328125,4287.3701171875,4293.43896484375,37.393367767333984,7.176265239715576,7.088139533996582,44.751007080078125,7.579064846038818,0.025276437401771545,0,0.0011598749551922083,0,332.23974609375,-6.06884765625
244,10,0,1,Day,,49.34825134277344,40.65174865722656,33.548221588134766,685.3900146484375,313.02215576171875,571.5900268554688,0.45670661330223083,19.209985733032227,3.240000009536743,=NA(),=NA(),1.533187985420227,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,32.765220642089844,39.22020721435547,811.7099609375,762.5849609375,49.125,52.34813690185547,4898.509765625,4462.83984375,4469.462890625,36.68500518798828,7.614618301391602,7.56804895401001,44.17143249511719,8.05556869506836,0.0268993116915226,0,0.0011262500192970037,0,435.669921875,-6.623046875
244,11,0,1,Day,,44.319732666015625,45.680267333984375,14.337394714355469,746.2999877929688,302.14727783203125,620.7999877929688,0.40486034750938416,20.6199893951416,3.090100049972534,=NA(),=NA(),1.3965150117874146,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,13.59428596496582,42.60198211669922,815.0150146484375,760.2899780273438,54.72999954223633,53.998741149902344,4884.169921875,4423.77001953125,4429.97412109375,36.46505355834961,7.592841625213623,7.573139190673828,43.95219039916992,8.036277770996094,0.026683375239372253,0,0.00126031250692904,0,460.39990234375,-6.2041015625
244,12,0,1,Day,,43.52220916748047,46.47779083251953,352.90362548828125,744.7000122070312,298.8313903808594,614.9000244140625,0.4012775421142578,21.82000160217285,2.9100000858306885,=NA(),=NA(),1.377976894378662,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,-6.691619396209717,43.1068115234375,802.989990234375,748.0350341796875,54.959999084472656,54.791893005371094,4799.33984375,4334.39013671875,4339.32421875,36.3646354675293,7.458009719848633,7.439618110656738,43.81597900390625,7.892007350921631,0.026177188381552696,0,0.0012832500506192446,0,464.94970703125,-4.93408203125
244,13,0,1,Day,,47.174320220947266,42.825679779052734,332.61285400390625,672.1099853515625,306.31890869140625,538.1099853515625,0.45575711131095886,22.730005264282227,2.6900999546051025,=NA(),=NA(),1.469568133354187,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,-26.395633697509766,40.633785247802734,767.0850219726562,718.8399658203125,48.23999786376953,54.16936492919922,4609.35009765625,4171.27001953125,4176.5947265625,36.43212127685547,7.165035247802734,7.129924774169922,43.81818389892578,7.583943843841553,0.025272812694311142,0,0.0011048750020563602,0,438.080078125,-5.32470703125
244,14,0,1,Day,,54.36980056762695,35.63019943237305,315.7958068847656,546.7000122070312,308.0286865234375,409.70001220703125,0.5634327530860901,22.800012588500977,2.430000066757202,=NA(),=NA(),1.713690161705017,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,-44.209476470947266,35.63779067993164,697.7449951171875,649.9949951171875,47.75499725341797,51.32750701904297,4203.2900390625,3840.820068359375,3845.35546875,36.78401184082031,6.533755779266357,6.452844142913818,44.00914764404297,6.910670280456543,0.02299381233751774,0,0.0010766874765977263,0,362.469970703125,-4.535400390625
244,15,0,1,Day,,63.88751220703125,26.11248779296875,302.4903869628906,366.1000061035156,270.0625915527344,218.1999969482422,0.737674355506897,22.399988174438477,1.999899983406067,=NA(),=NA(),2.2637228965759277,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,-59.83820724487305,28.8377742767334,535.155029296875,484.05499267578125,51.095001220703125,44.22063446044922,3185.89013671875,2981.4599609375,2986.151123046875,37.578453063964844,4.966670036315918,4.8587541580200195,44.41413116455078,5.246423244476318,0.01724156178534031,0,0.0010747499763965607,0,204.43017578125,-4.691162109375
244,16,0,1,Day,,74.7858657836914,15.214132308959961,291.7176208496094,185.30999755859375,166.3622283935547,72.2020034790039,0.897750973701477,21.230005264282227,2.200000047683716,=NA(),=NA(),3.762895345687866,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,-26.76565933227539,50.35544204711914,275.8599853515625,260.67999267578125,15.180000305175781,32.441246032714844,1602.1199951171875,1558.8599853515625,1560.939208984375,38.54996109008789,2.530714511871338,2.495661497116089,44.73619842529297,2.671649694442749,0.009020562283694744,0,0.0003474375116638839,0,43.260009765625,-2.0792236328125
244,17,0,1,Night,Sun above horizon but GHI below 1,85.39614868164062,4.603853225708008,283.2010192871094,0,0,0,0,18.240015029907227,2.6298999786376953,=NA(),0,11.022080421447754,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.240015029907227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,18,0,1,Night,,98.78961181640625,-8.78961181640625,273.8830871582031,0,0,0,0,12.360010147094727,3.029900074005127,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,12.360010147094727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,19,0,1,Night,,111.011962890625,-21.011960983276367,265.19488525390625,0,0,0,0,10.879999160766602,3.340100049972534,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,10.879999160766602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,20,0,1,Night,,123.0846939086914,-33.08469772338867,255.47787475585938,0,0,0,0,9.859796524047852,3.549999952316284,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,9.860010147094727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
