Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,0,0,1,Night,,121.85777282714844,-31.857772827148438,183.6459197998047,0,0,0,0,19.550012588500977,7.659900188446045,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,16.719995498657227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,Night,,120.91158294677734,-30.91158676147461,167.51644897460938,0,0,0,0,19.2499942779541,7.329899787902832,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,16.409997940063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,116.70764923095703,-26.7076473236084,152.51287841796875,0,0,0,0,18.959985733032227,7.150100231170654,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,16.110010147094727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,109.84133911132812,-19.841341018676758,139.4839324951172,0,0,0,0,18.920007705688477,6.699900150299072,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,16.07000160217285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,101.0306625366211,-11.030662536621094,128.48606872558594,0,0,0,0,18.899988174438477,6.29010009765625,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,16.050012588500977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Night,DHI was slightly larger than GHI when loading weather.,90.16942596435547,-0.1694253534078598,119.13648986816406,13.909000396728516,13.909000396728516,0,1,18.9999942779541,7.349999904632568,=NA(),0,40.55686569213867,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,16.149988174438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,Day,,79.55494689941406,10.445050239562988,110.92695617675781,44.59700012207031,44.52537155151367,0.3950999975204468,0.9983938932418823,19.159997940063477,7.860000133514404,=NA(),0.9992791414260864,5.365339756011963,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,16.919065475463867,63.84729766845703,48.625,43.744998931884766,4.880000114440918,17.735620498657227,255.6909942626953,261.9754943847656,261.8270263671875,38.27410888671875,0.4275478422641754,0.4184412658214569,43.6561393737793,0.45938971638679504,0.0015078125288709998,0,0.00011349999840604141,0,-6.2845001220703125,0.148468017578125
1,7,0,1,Day,,67.8770980834961,22.12290382385254,103.33454895019531,244.39999389648438,233.7065887451172,28.395000457763672,0.9562463164329529,20.05999183654785,7.360000133514404,=NA(),0.9634649753570557,2.641014575958252,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,46.91737747192383,23.710195541381836,317.7850036621094,280.3349914550781,37.45000076293945,26.451868057250977,1812.7509765625,1798.5623779296875,1800.3896484375,39.59497833251953,2.841794967651367,2.7415101528167725,45.75382614135742,2.997457981109619,0.009721624664962292,0,0.0008399374783039093,0,14.1885986328125,-1.8272705078125
1,8,0,1,Day,,55.79859161376953,34.20140838623047,95.77944946289062,395.69000244140625,348.2512512207031,84.3949966430664,0.8801113367080688,21.05999183654785,6.639999866485596,=NA(),0.9052125215530396,1.775695562362671,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,55.662723541259766,4.7774224281311035,504.22003173828125,443.114990234375,61.10499954223633,32.74748992919922,2967.37109375,2884.27587890625,2887.9599609375,39.16532516479492,4.608534336090088,4.456944942474365,45.78757095336914,4.857612133026123,0.015716874971985817,0,0.001365187461487949,0,83.09521484375,-3.68408203125
1,9,0,1,Day,,43.548912048339844,46.451087951660156,87.42261505126953,799.5900268554688,350.15716552734375,620.0900268554688,0.43792086839675903,24.2600040435791,6.010000228881836,=NA(),0.35018035769462585,1.3785853385925293,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,43.519954681396484,1.7754387855529785,1060.64501953125,1001.8399658203125,58.80500030517578,50.92125701904297,6399.04052734375,5858.0498046875,5869.38623046875,36.89055633544922,9.943857192993164,9.873453140258789,44.872745513916016,10.497958183288574,0.03533631190657616,0,0.0013136875350028276,0,540.99072265625,-11.33642578125
