Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,0,0,1,Night,,121.8150634765625,-31.815059661865234,175.52590942382812,0,0,0,0,19.550012588500977,7.659900188446045,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.550012588500977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,Night,,119.18629455566406,-29.18629264831543,159.8000946044922,0,0,0,0,19.2499942779541,7.329899787902832,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.2499942779541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,113.56180572509766,-23.56180191040039,145.7327880859375,0,0,0,0,18.959985733032227,7.150100231170654,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.959985733032227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,105.63668060302734,-15.63668441772461,133.74945068359375,0,0,0,0,18.920007705688477,6.699900150299072,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.920007705688477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,96.04838562011719,-6.048386096954346,123.63626098632812,0,0,0,0,18.899988174438477,6.29010009765625,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.899988174438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Day,,85.02500915527344,4.974987983703613,114.8443832397461,13.909000396728516,13.899842262268066,0.10559999942779541,0.9993415474891663,18.9999942779541,7.349999904632568,=NA(),0.9996891617774963,10.35081672668457,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,7.944540500640869,77.8284683227539,15.229999542236328,13.815000534057617,1.4100000858306885,19.610620498657227,71.27890014648438,72.61990356445312,72.7235107421875,35.88316345214844,0.12666700780391693,0.12573717534542084,41.258766174316406,0.1407211720943451,0.0004632500058505684,0,0.000032500000088475645,0,-1.34100341796875,-0.103607177734375
1,6,0,1,Day,,73.78282165527344,16.217180252075195,107.0871353149414,44.59700012207031,44.486656188964844,0.3950999975204468,0.9975257515907288,19.159997940063477,7.860000133514404,=NA(),0.9994233250617981,3.54164719581604,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,28.127687454223633,47.23493576049805,46.63999938964844,40.80500030517578,5.840000152587891,21.000635147094727,239.99420166015625,242.93710327148438,242.7719268798828,37.69396209716797,0.40250977873802185,0.3876574635505676,43.07865905761719,0.4335044324398041,0.0013933124719187617,0,0.00013437500456348062,0,-2.942901611328125,0.1651763916015625
1,7,0,1,Day,,61.87288284301758,28.127117156982422,99.5947036743164,244.39999389648438,231.01376342773438,28.395000457763672,0.9452281594276428,20.05999183654785,7.360000133514404,=NA(),0.9662927389144897,2.1147284507751465,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,60,8.590168952941895,306.65997314453125,258.68499755859375,47.974998474121094,32.008750915527344,1742.2528076171875,1696.1739501953125,1695.70654296875,38.859352111816406,2.7272982597351074,2.6054043769836426,44.940982818603516,2.8866868019104004,0.009130062535405159,0,0.0010325624607503414,0,46.078857421875,0.4674072265625
1,8,0,1,Day,,49.6807746887207,40.3192253112793,91.77523803710938,395.69000244140625,341.08258056640625,84.3949966430664,0.8619944453239441,21.05999183654785,6.639999866485596,=NA(),0.9089145660400391,1.5436055660247803,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,49.667198181152344,1.3534409999847412,477.8900146484375,422.19500732421875,55.69499969482422,39.61937713623047,2782.93505859375,2642.30126953125,2646.657470703125,38.14720153808594,4.336400508880615,4.202075004577637,44.76976013183594,4.579914569854736,0.014808624982833862,0,0.0012323125265538692,0,140.6337890625,-4.356201171875
1,9,0,1,Day,,37.43968200683594,52.56031799316406,82.47744750976562,799.5900268554688,307.2424011230469,620.0900268554688,0.3842499256134033,24.2600040435791,6.010000228881836,=NA(),0.3643666207790375,1.2587419748306274,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,37.20090103149414,4.564857006072998,1006.0999755859375,953.0650024414062,53.029998779296875,63.563743591308594,6091.515625,5329.4443359375,5340.31640625,35.22077178955078,9.476508140563965,9.431913375854492,43.15896987915039,10.04409122467041,0.03364993631839752,0,0.0012213749578222632,0,762.0712890625,-10.8720703125
1,10,0,1,Day,,25.54935646057129,64.45064544677734,68.8519287109375,590.9000244140625,447.7096252441406,158.7100067138672,0.7576740384101868,24.82000160217285,5.610000133514404,=NA(),0.8419109582901001,1.1080710887908936,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,24.029146194458008,8.9515962600708,658.989990234375,606.8099975585938,52.18499755859375,50.49748992919922,3889.345947265625,3559.648681640625,3566.79638671875,36.869781494140625,6.0463032722473145,5.9905009269714355,43.969085693359375,6.394168376922607,0.021121561527252197,0,0.0011704375501722097,0,329.697265625,-7.147705078125
1,11,0,1,Day,,15.353609085083008,74.64639282226562,41.193206787109375,601.2899780273438,469.27593994140625,136.89999389648438,0.7804486155509949,26.100000381469727,5.509900093078613,=NA(),0.865526020526886,1.036854863166809,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,10.250316619873047,11.492615699768066,655.760009765625,604.050048828125,51.70500183105469,51.699363708496094,3856.948486328125,3514.838134765625,3522.361328125,36.696739196777344,5.999108791351318,5.973119735717773,43.79629898071289,6.34523344039917,0.020943062379956245,0,0.0011660000309348106,0,342.1103515625,-7.523193359375
1,12,0,1,Day,,12.567623138427734,77.432373046875,342.5169677734375,507.8999938964844,449.72998046875,59.597999572753906,0.8854695558547974,26.089990615844727,5.550000190734863,=NA(),0.941602349281311,1.0244208574295044,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,-3.831620216369629,11.97824764251709,553.1650390625,507.85498046875,45.30999755859375,47.714378356933594,3205.1376953125,2960.176025390625,2965.419921875,37.135982513427734,4.990814208984375,4.974887847900391,43.96736526489258,5.276433944702148,0.017397062852978706,0,0.001029500039294362,0,244.961669921875,-5.243896484375
