Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,0,0,1,Night,,121.8403168,-31.84031677,183.6681213,0,0,0,0,19.55001259,7.659900188,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,19.55001259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,Night,,120.8993149,-30.89931679,167.5407867,0,0,0,0,19.24999428,7.329899788,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,19.24999428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,116.7010803,-26.70108032,152.5365143,0,0,0,0,18.95998573,7.150100231,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,18.95998573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,109.8401108,-19.84010696,139.5046539,0,0,0,0,18.92000771,6.69990015,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,18.92000771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,101.0339737,-11.03397465,128.5027771,0,0,0,0,18.89998817,6.290100098,#N/A,0,64.81599426,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,18.89998817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Night,,90.17536163,-0.175360635,119.1489334,13.9090004,13.80300045,0,0.99237901,18.99999428,7.349999905,#N/A,0,40.65270996,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,0,0,0,0,0,18.99999428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,Day,,79.56517029,10.43483162,110.9351654,44.59700012,44.20199966,2.180912495,0.991142869,19.15999794,7.860000134,#N/A,#N/A,5.370242119,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,16.90153694,63.87451172,49.02500153,44.17499924,4.849999905,21.09188271,253.8576965,256.8713989,256.8314819,37.74640274,0.425255001,0.417614341,43.16074371,0.457189649,0.001500938,0,0.000109687,0,-3.013702393,0.039916992
1,7,0,1,Day,,67.89011383,22.10988617,103.3385925,244.3999939,216,75.4548111,0.88379705,20.05999184,7.360000134,#N/A,#N/A,2.642472029,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,46.84726715,23.78301048,355.1099854,322.7600098,32.34999847,33.84313202,2023.858276,1958.572754,1962.281616,38.63288498,3.174613476,3.089867592,44.96205521,3.350771666,0.01103525,0,0.000719937,0,65.28552246,-3.708862305
1,8,0,1,Day,,55.81414032,34.18585968,95.77932739,395.6900024,311.2999878,150.1924286,0.786726952,21.05999184,6.639999866,#N/A,#N/A,1.776400924,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,55.67830276,4.778203487,532.0050049,477.7200012,54.28500366,41.65312958,3155.682617,2976.457275,2982.26123,37.95285034,4.911327839,4.781445026,44.73314285,5.185278416,0.016942751,0,0.001202875,0,179.2253418,-5.803955078
1,9,0,1,Day,,43.56692123,46.43307877,87.41834259,799.5900269,179.5,855.8043213,0.224490047,24.26000404,6.010000229,#N/A,#N/A,1.378996253,1.416399956,0.343800008,0.083999999,#N/A,20,1013.25,43.5378685,1.778966427,1111.959961,1069.719971,42.23999786,67.71749115,6797.787109,5859.070313,5870.331055,34.65438843,10.58727932,10.5694685,42.85066223,11.23028278,0.037992064,0,0.00097375,0,938.7167969,-11.26074219
