Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,0,0,1,Night,,121.85777282714844,-31.857772827148438,183.6459197998047,0,0,0,0,19.550012588500977,7.659900188446045,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.550012588500977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,Night,,120.91158294677734,-30.91158676147461,167.51644897460938,0,0,0,0,19.2499942779541,7.329899787902832,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,19.2499942779541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,116.70764923095703,-26.7076473236084,152.51287841796875,0,0,0,0,18.959985733032227,7.150100231170654,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.959985733032227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,109.84133911132812,-19.841341018676758,139.4839324951172,0,0,0,0,18.920007705688477,6.699900150299072,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.920007705688477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,101.0306625366211,-11.030662536621094,128.48606872558594,0,0,0,0,18.899988174438477,6.29010009765625,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.899988174438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Night,DHI was slightly larger than GHI when loading weather.,90.16942596435547,-0.1694253534078598,119.13648986816406,13.909000396728516,13.909000396728516,0,1,18.9999942779541,7.349999904632568,=NA(),0,40.55686569213867,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,18.9999942779541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,Day,,79.55494689941406,10.445050239562988,110.92695617675781,44.59700012207031,44.52537155151367,0.3950999975204468,0.9983938932418823,19.159997940063477,7.860000133514404,=NA(),0.9992791414260864,5.365339756011963,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,16.919065475463867,63.84729766845703,48.625,43.744998931884766,4.880000114440918,21.07000160217285,255.10850524902344,258.15740966796875,258.1747741699219,37.74057388305664,0.4275444447994232,0.4205799400806427,43.172447204589844,0.4592151939868927,0.0015051874797791243,0,0.00011268749949522316,0,-3.0489044189453125,-0.017364501953125
1,7,0,1,Day,,67.8770980834961,22.12290382385254,103.33454895019531,244.39999389648438,233.7065887451172,28.395000457763672,0.9562463164329529,20.05999183654785,7.360000133514404,=NA(),0.9634649753570557,2.641014575958252,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,46.91737747192383,23.710195541381836,317.7850036621094,280.3349914550781,37.45000076293945,32.41875457763672,1804.8624267578125,1754.7906494140625,1756.9176025390625,38.749237060546875,2.8337881565093994,2.7356085777282715,44.94901657104492,2.993867874145508,0.009684874676167965,0,0.0008323750225827098,0,50.07177734375,-2.126953125
1,8,0,1,Day,,55.79859161376953,34.20140838623047,95.77944946289062,395.69000244140625,348.2512512207031,84.3949966430664,0.8801113367080688,21.05999183654785,6.639999866485596,=NA(),0.9052125215530396,1.775695562362671,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,55.662723541259766,4.7774224281311035,504.22003173828125,443.114990234375,61.10499954223633,40.61998748779297,2965.95556640625,2806.88525390625,2811.293701171875,38.06719970703125,4.6159138679504395,4.459682464599609,44.75433349609375,4.875332832336426,0.015713874250650406,0,0.0013604374835267663,0,159.0703125,-4.408447265625
1,9,0,1,Day,,43.548912048339844,46.451087951660156,87.42261505126953,799.5900268554688,350.15716552734375,620.0900268554688,0.43792086839675903,24.2600040435791,6.010000228881836,=NA(),0.35018035769462585,1.3785853385925293,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,43.519954681396484,1.7754387855529785,1060.64501953125,1001.8399658203125,58.80500030517578,65.76811981201172,6404.61328125,5559.0625,5570.888671875,34.91892623901367,9.971158981323242,9.901269912719727,42.97784423828125,10.577775955200195,0.035353999584913254,0,0.00132831244263798,0,845.55078125,-11.826171875
