Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,1,0,1,Night,,120.8727035522461,-30.872699737548828,167.60586547851562,0,0,0,0,19.43425941467285,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,19.42998695373535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,116.68930053710938,-26.689298629760742,152.59901428222656,0,0,0,0,19.095361709594727,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,19.100000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,109.84191131591797,-19.841915130615234,139.5591583251953,0,0,0,0,18.90728187561035,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,18.909997940063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,101.04715728759766,-11.04715633392334,128.54702758789062,0,0,0,0,18.909631729125977,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,18.909997940063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Night,,90.19395446777344,-0.19395332038402557,119.1825942993164,4.828055381774902,4.197299957275391,0,0.8693562150001526,18.890222549438477,1,=NA(),0,40.954559326171875,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),5.5751190185546875,1013.25,0,0,0,0,0,18.8900089263916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,Day,,79.59519958496094,10.404800415039062,110.95861053466797,29.011943817138672,28.80299949645996,1.1569353342056274,0.9927979707717896,18.9805850982666,1,=NA(),=NA(),5.384702205657959,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),15.97869873046875,1013.25,16.849960327148438,63.954463958740234,32.86499786376953,28.399999618530273,4.470000267028809,20.756250381469727,163.74000549316406,165.94000244140625,165.2742156982422,37.34608840942383,0.27658894658088684,0.27043789625167847,42.52532196044922,0.30328109860420227,0.000994000001810491,0,0.00010331250086892396,0,-2.1999969482421875,0.6657867431640625
1,7,0,1,Day,,67.92687225341797,22.073129653930664,103.35231018066406,118.47777557373047,115.19999694824219,8.722375869750977,0.9723342061042786,19.4737491607666,1,=NA(),=NA(),2.6465964317321777,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),19.39617919921875,1013.25,46.65200424194336,23.987529754638672,127.44999694824219,100.77000427246094,26.68000030517578,26.326257705688477,674.7999877929688,669.5399780273438,661.40673828125,39.022865295410156,1.0591309070587158,0.9993710517883301,44.120914459228516,1.159319519996643,0.003595875110477209,0,0.0005983124719932675,0,5.260009765625,8.13323974609375
1,8,0,1,Day,,55.856895446777344,34.143104553222656,95.78366088867188,336.06390380859375,295.1000061035156,72.98536682128906,0.8781068325042725,20.7375431060791,1,=NA(),=NA(),1.7783446311950684,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.622468948364258,1013.25,55.72093963623047,4.784213542938232,381.5950012207031,304.6500244140625,76.94499969482422,41.214988708496094,2133.3701171875,2012.47998046875,1994.0318603515625,38.28396987915039,3.2553458213806152,3.0788984298706055,44.12633514404297,3.5246150493621826,0.010992937721312046,0,0.001746875001117587,0,120.89013671875,18.4481201171875
1,9,0,1,Day,,43.615318298339844,46.384681701660156,87.4140396118164,672.5213623046875,281.70001220703125,539.8178100585938,0.4188714623451233,22.840173721313477,1,=NA(),=NA(),1.3801021575927734,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.289382934570312,1013.25,43.58616256713867,1.783512830734253,906.074951171875,838.4349975585938,67.63999938964844,71.2768783569336,5448.7900390625,4629.60009765625,4637.48388671875,34.2109489440918,8.472238540649414,8.411484718322754,41.999755859375,9.021142959594727,0.030544687062501907,0,0.0015786250587552786,0,819.18994140625,-7.8837890625
1,10,0,1,Day,,31.483121871948242,58.51688003540039,76.51653289794922,721.0869140625,359.3999938964844,424.1199035644531,0.4984142482280731,24.503808975219727,1,=NA(),=NA(),1.1721471548080444,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.04120445251465,1013.25,30.77448844909668,6.9942474365234375,858.9550170898438,775.9849853515625,82.97000122070312,70.5268783569336,5114.81005859375,4356.58984375,4362.95703125,34.31181716918945,7.947312355041504,7.875433921813965,41.966835021972656,8.4651460647583,0.028223499655723572,0,0.0019265000009909272,0,758.22021484375,-6.3671875
1,11,0,1,Day,,20.13680076599121,69.86319732666016,58.01333236694336,999.2080688476562,289.6000061035156,755.8080444335938,0.2898295223712921,25.92449378967285,1,=NA(),=NA(),1.0648890733718872,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.15799331665039,1013.25,17.275930404663086,10.507460594177246,1146.31494140625,1037.489990234375,108.81999969482422,88.17061614990234,6835.8701171875,5440.6298828125,5447.04541015625,31.993797302246094,10.640824317932129,10.597203254699707,40.303428649902344,11.376261711120605,0.03788837417960167,0,0.0025110000278800726,0,1395.240234375,-6.41552734375
1,12,0,1,Day,,12.487045288085938,77.51295471191406,15.074821472167969,481.23834228515625,405.1000061035156,77.9830322265625,0.8417866230010986,26.127283096313477,1,=NA(),=NA(),1.0241014957427979,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.200721740722656,1013.25,3.2964062690734863,12.05075740814209,547.635009765625,480.9000244140625,66.73500061035156,55.581871032714844,3122.97998046875,2803.880126953125,2801.44189453125,36.215965270996094,4.834627151489258,4.8011274337768555,42.94026565551758,5.153957366943359,0.01695149950683117,0,0.0015461250441148877,0,319.099853515625,2.438232421875
1,13,0,1,Day,,15.709444999694824,74.29055786132812,317.37188720703125,519.80029296875,377.20001220703125,148.1334991455078,0.7256633043289185,26.33074378967285,1,=NA(),=NA(),1.0386422872543335,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20.79535484313965,1013.25,-10.784684181213379,11.491064071655273,588.9000244140625,518.6400146484375,70.26000213623047,57.91936492919922,3397.300048828125,3025.39990234375,3026.93505859375,35.86628723144531,5.274704933166504,5.241306781768799,42.795597076416016,5.616412162780762,0.018475936725735664,0,0.0016173750627785921,0,371.900146484375,-1.53515625
