Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,1,0,1,Night,,120.8727035522461,-30.872699737548828,167.60586547851562,0,0,0,0,19.43425941467285,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,19.42998695373535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,116.68930053710938,-26.689298629760742,152.59901428222656,0,0,0,0,19.095361709594727,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,19.100000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,109.84191131591797,-19.841915130615234,139.5591583251953,0,0,0,0,18.90728187561035,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,18.909997940063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,101.04715728759766,-11.04715633392334,128.54702758789062,0,0,0,0,18.909631729125977,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,18.909997940063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Night,,90.19395446777344,-0.19395332038402557,119.1825942993164,4.828055381774902,4.197299957275391,0,0.8693562150001526,18.890222549438477,1,=NA(),0,40.954559326171875,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),5.5751190185546875,1013.25,0,0,0,0,0,18.8900089263916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,Day,,79.59519958496094,10.404800415039062,110.95861053466797,29.011943817138672,28.80299949645996,1.1569353342056274,0.9927979707717896,18.9805850982666,1,=NA(),0.9978845715522766,5.384702205657959,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),15.97869873046875,1013.25,16.849960327148438,63.954463958740234,30.729999542236328,28.325000762939453,2.4049999713897705,20.6249942779541,157.9499969482422,160.1699981689453,160.0005340576172,37.14381790161133,0.26922398805618286,0.2646450400352478,42.484134674072266,0.2929065525531769,0.0010059375781565905,0,0.000054874999477760866,0,-2.220001220703125,0.169464111328125
1,7,0,1,Day,,67.92687225341797,22.073129653930664,103.35231018066406,118.47777557373047,115.19999694824219,8.722375869750977,0.9723342061042786,19.4737491607666,1,=NA(),0.9887679219245911,2.6465964317321777,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),19.39617919921875,1013.25,46.65200424194336,23.987529754638672,126.44499206542969,107.55500030517578,18.895000457763672,26.20000648498535,689.3800048828125,684.3200073242188,680.9586791992188,38.754581451416016,1.0979362726211548,1.0435477495193481,44.17547607421875,1.1832669973373413,0.0038706250488758087,0,0.0004097500059287995,0,5.05999755859375,3.361328125
1,8,0,1,Day,,55.856895446777344,34.143104553222656,95.78366088867188,336.06390380859375,295.1000061035156,72.98536682128906,0.8781068325042725,20.7375431060791,1,=NA(),0.9179906249046326,1.7783446311950684,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.622468948364258,1013.25,55.72093963623047,4.784213542938232,409.989990234375,360.45501708984375,49.53499984741211,42.41063690185547,2391.840087890625,2248,2246.14697265625,37.80088806152344,3.713728666305542,3.570276975631714,44.17805862426758,3.956969976425171,0.0131612503901124,0,0.0010803125333040953,0,143.840087890625,1.85302734375
1,9,0,1,Day,,43.615318298339844,46.384681701660156,87.4140396118164,672.5213623046875,281.70001220703125,539.8178100585938,0.4188714623451233,22.840173721313477,1,=NA(),0.4341452717781067,1.3801021575927734,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.289382934570312,1013.25,43.58616256713867,1.783512830734253,887.5899658203125,849.4599609375,38.125,70.0581283569336,5394.4697265625,4604.4501953125,4613.49853515625,34.36104965209961,8.391630172729492,8.333234786987305,42.13642120361328,8.922319412231445,0.030960436910390854,0,0.0008413125178776681,0,790.01953125,-9.04833984375
1,10,0,1,Day,,31.483121871948242,58.51688003540039,76.51653289794922,721.0869140625,359.3999938964844,424.1199035644531,0.4984142482280731,24.503808975219727,1,=NA(),0.5722979307174683,1.1721471548080444,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.04120445251465,1013.25,30.77448844909668,6.9942474365234375,838.2049560546875,797.9300537109375,40.275001525878906,69.11873626708984,5062.240234375,4334.68017578125,4344.03955078125,34.46921157836914,7.876683712005615,7.827951908111572,42.12809753417969,8.376991271972656,0.02896062470972538,0,0.0008789374842308462,0,727.56005859375,-9.359375
1,11,0,1,Day,,20.13680076599121,69.86319732666016,58.01333236694336,999.2080688476562,289.6000061035156,755.8080444335938,0.2898295223712921,25.92449378967285,1,=NA(),0.2534697949886322,1.0648890733718872,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.15799331665039,1013.25,17.275930404663086,10.507460594177246,1092.9200439453125,1040.47509765625,52.44499969482422,84.89061737060547,6569.02978515625,5297.14990234375,5306.740234375,32.406654357910156,10.234665870666504,10.220250129699707,40.639076232910156,10.926375389099121,0.03767131268978119,0,0.0011246874928474426,0,1271.8798828125,-9.59033203125
1,12,0,1,Day,,12.487045288085938,77.51295471191406,15.074821472167969,481.23834228515625,405.1000061035156,77.9830322265625,0.8417866230010986,26.127283096313477,1,=NA(),0.9235924482345581,1.0241014957427979,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.200721740722656,1013.25,3.2964062690734863,12.05075740814209,512.030029296875,481.19000244140625,30.84000015258789,53.370628356933594,2970.3798828125,2687.68994140625,2691.828857421875,36.33304977416992,4.630475997924805,4.622934818267822,43.13587188720703,4.913649559020996,0.016946688294410706,0,0.0006615624879486859,0,282.68994140625,-4.138916015625
