Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
1,1,0,1,Night,,120.8727035522461,-30.872699737548828,167.60586547851562,0,0,0,0,19.43425941467285,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,19.42998695373535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,Night,,116.68930053710938,-26.689298629760742,152.59901428222656,0,0,0,0,19.095361709594727,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,19.100000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,Night,,109.84191131591797,-19.841915130615234,139.5591583251953,0,0,0,0,18.90728187561035,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,18.909997940063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,Night,,101.04715728759766,-11.04715633392334,128.54702758789062,0,0,0,0,18.909631729125977,1,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),0,1013.25,0,0,0,0,0,18.909997940063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,Night,,90.19395446777344,-0.19395332038402557,119.1825942993164,4.828055381774902,4.197299957275391,0,0.8693562150001526,18.890222549438477,1,=NA(),0,40.954559326171875,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),5.5751190185546875,1013.25,0,0,0,0,0,18.8900089263916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,Day,,79.59519958496094,10.404800415039062,110.95861053466797,29.011943817138672,28.80299949645996,1.1569353342056274,0.9927979707717896,18.9805850982666,1,=NA(),0.9978845715522766,5.384702205657959,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),15.97869873046875,1013.25,16.849960327148438,63.954463958740234,28.724998474121094,28.28499984741211,0.4399999976158142,20.508142471313477,150.36000061035156,152.5500030517578,152.53482055664062,37.035308837890625,0.25741228461265564,0.25351274013519287,42.41985321044922,0.27927732467651367,0.0010042500216513872,0,0.000009499999578110874,0,-2.19000244140625,0.0151824951171875
1,7,0,1,Day,,67.92687225341797,22.073129653930664,103.35231018066406,118.47777557373047,115.19999694824219,8.722375869750977,0.9723342061042786,19.4737491607666,1,=NA(),0.9887679219245911,2.6465964317321777,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),19.39617919921875,1013.25,46.65200424194336,23.987529754638672,118.69999694824219,106.11000061035156,12.594999313354492,25.761865615844727,656.719970703125,652.9299926757812,650.8606567382812,38.67029571533203,1.0516806840896606,0.9982564449310303,44.15324020385742,1.128185749053955,0.0038242500741034746,0,0.0002616250130813569,0,3.78997802734375,2.0693359375
1,8,0,1,Day,,55.856895446777344,34.143104553222656,95.78366088867188,336.06390380859375,295.1000061035156,72.98536682128906,0.8781068325042725,20.7375431060791,1,=NA(),0.9179906249046326,1.7783446311950684,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.622468948364258,1013.25,55.72093963623047,4.784213542938232,391.760009765625,355.5350036621094,36.224998474121094,41.36125946044922,2310.669921875,2179.3701171875,2178.638671875,37.87701416015625,3.5948526859283447,3.4451630115509033,44.25384521484375,3.815725088119507,0.01300756260752678,0,0.0007610624888911843,0,131.2998046875,0.7314453125
1,9,0,1,Day,,43.615318298339844,46.384681701660156,87.4140396118164,672.5213623046875,281.70001220703125,539.8178100585938,0.4188714623451233,22.840173721313477,1,=NA(),0.4341452717781067,1.3801021575927734,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.289382934570312,1013.25,43.58616256713867,1.783512830734253,858.3150024414062,843.760009765625,14.559999465942383,68.30501556396484,5278.68994140625,4535.02001953125,4544.4697265625,34.58707809448242,8.212135314941406,8.127338409423828,42.318607330322266,8.725140571594238,0.030800124630331993,0,0.00031681248219683766,0,743.669921875,-9.44970703125
1,10,0,1,Day,,31.483121871948242,58.51688003540039,76.51653289794922,721.0869140625,359.3999938964844,424.1199035644531,0.4984142482280731,24.503808975219727,1,=NA(),0.5722979307174683,1.1721471548080444,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.04120445251465,1013.25,30.77448844909668,6.9942474365234375,803.2900390625,795.1650390625,8.119999885559082,67.00438690185547,4929.6201171875,4254.2001953125,4264.142578125,34.738197326660156,7.6719794273376465,7.611282825469971,42.3477897644043,8.151948928833008,0.02889074943959713,0,0.0001667500037001446,0,675.419921875,-9.9423828125
1,11,0,1,Day,,20.13680076599121,69.86319732666016,58.01333236694336,999.2080688476562,289.6000061035156,755.8080444335938,0.2898295223712921,25.92449378967285,1,=NA(),0.2534697949886322,1.0648890733718872,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.15799331665039,1013.25,17.275930404663086,10.507460594177246,1040.6400146484375,1039.2900390625,1.350000023841858,81.63936614990234,6384.52001953125,5214.97998046875,5225.3984375,32.83048629760742,9.947687149047852,9.922782897949219,40.99613952636719,10.61323070526123,0.03765912353992462,0,0.00003162500070175156,0,1169.5400390625,-10.41845703125
1,12,0,1,Day,,12.487045288085938,77.51295471191406,15.074821472167969,481.23834228515625,405.1000061035156,77.9830322265625,0.8417866230010986,26.127283096313477,1,=NA(),0.9235924482345581,1.0241014957427979,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),21.200721740722656,1013.25,3.2964062690734863,12.05075740814209,481.3399963378906,481.17498779296875,0.16499999165534973,51.52873992919922,2858.630126953125,2603.300048828125,2608.47412109375,36.53507614135742,4.462278366088867,4.457504749298096,43.305965423583984,4.725347518920898,0.016947312280535698,0,0.000009250000402971637,0,255.330078125,-5.174072265625
