file directory,RMSE,MBE,CRMSE,The optimised scale factor,Uv,RMSE
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv0.csv,0.7342673,-5.21E-14,0.7342673,1.041781811,0,0.7342673
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv1.csv,0.727251827,4.62E-14,0.727251827,1.002941537,1,0.727251827
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv10.csv,0.771649252,-9.58E-14,0.771649252,0.931907032,10,0.771649252
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv2.csv,0.740691695,6.94E-14,0.740691695,0.982546273,2,0.740691695
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv3.csv,0.75042627,4.37E-15,0.75042627,0.969163354,3,0.75042627
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv4.csv,0.756912434,1.14E-17,0.756912434,0.959565613,4,0.756912434
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv5.csv,0.761323504,6.67E-14,0.761323504,0.952277907,5,0.761323504
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv6.csv,0.764537604,6.31E-14,0.764537604,0.946530879,6,0.764537604
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv7.csv,0.766947468,-2.83E-15,0.766947468,0.941865893,7,0.766947468
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv8.csv,0.76883109,-2.79E-14,0.76883109,0.937990495,8,0.76883109
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\per_inv\2-1\inv 2-1 Perez Uc14Uv9.csv,0.770372032,7.15E-14,0.770372032,0.934715658,9,0.770372032
